Year,land_area_where_elevation_is_below_5_meters_of_total_land_area_,renewable_energy_consumption_of_total_final_energy_consumption_,total_greenhouse_gas_emissions_excluding_lulucf_per_capita_t_co2e_capita_
1960-01-01,0.160554591714016,72.3,3.246111084153398
1961-01-01,0.160554591714016,72.3,3.246111084153398
1962-01-01,0.160554591714016,72.3,3.246111084153398
1963-01-01,0.160554591714016,72.3,3.246111084153398
1964-01-01,0.160554591714016,72.3,3.246111084153398
1965-01-01,0.160554591714016,72.3,3.246111084153398
1966-01-01,0.160554591714016,72.3,3.246111084153398
1967-01-01,0.160554591714016,72.3,3.246111084153398
1968-01-01,0.160554591714016,72.3,3.246111084153398
1969-01-01,0.160554591714016,72.3,3.246111084153398
1970-01-01,0.160554591714016,72.3,3.246111084153398
1971-01-01,0.160554591714016,72.3,3.1490199966550394
1972-01-01,0.160554591714016,72.3,3.4755570787245507
1973-01-01,0.160554591714016,72.3,3.6031617925130797
1974-01-01,0.160554591714016,72.3,3.581443461401734
1975-01-01,0.160554591714016,72.3,3.2909212945825828
1976-01-01,0.160554591714016,72.3,2.627149501375613
1977-01-01,0.160554591714016,72.3,3.1773084612936437
1978-01-01,0.160554591714016,72.3,3.3519191778410065
1979-01-01,0.160554591714016,72.3,3.302308706779368
1980-01-01,0.160554591714016,72.3,3.2424901695035278
1981-01-01,0.160554591714016,72.3,2.958613410985125
1982-01-01,0.160554591714016,72.3,2.879743335198125
1983-01-01,0.160554591714016,72.3,2.9629913432624506
1984-01-01,0.160554591714016,72.3,2.943702984017364
1985-01-01,0.160554591714016,72.3,3.0063543549930873
1986-01-01,0.160554591714016,72.3,3.037659833620167
1987-01-01,0.160554591714016,72.3,3.1117490825271212
1988-01-01,0.160554591714016,72.3,3.21458102908761
1989-01-01,0.160554591714016,72.3,3.139351813870849
1990-01-01,0.160554591714016,72.3,2.7472054882181527
1991-01-01,0.16055459171409012,71.9,2.634351362233168
1992-01-01,0.1605545917141642,72.7,2.4612531262798107
1993-01-01,0.1605545917142383,71.3,2.6897900427492187
1994-01-01,0.1605545917143124,72.2,3.4301214723522624
1995-01-01,0.16055459171438652,73.8,3.8396388613012564
1996-01-01,0.1605545917144606,72.9,4.471986503679035
1997-01-01,0.1605545917145347,73.4,4.5062236650495455
1998-01-01,0.1605545917146088,76.4,4.695788809165552
1999-01-01,0.1605545917146829,72.8,4.587369756054594
2000-01-01,0.160554591714757,73.8,4.138545362731863
2001-01-01,0.1605545917147292,72.8,3.8716722214234154
2002-01-01,0.1605545917147014,70.8,3.636143494874882
2003-01-01,0.1605545917146736,65.6,3.521305959435818
2004-01-01,0.1605545917146458,62.3,3.676470153393823
2005-01-01,0.160554591714618,68.9,3.4445049730288395
2006-01-01,0.1605545917145902,62.6,2.9596589685309906
2007-01-01,0.1605545917145624,58.9,2.7721120822563217
2008-01-01,0.1605545917145346,55.4,2.830607375668224
2009-01-01,0.1605545917145068,53.0,2.791908711277156
2010-01-01,0.160554591714479,53.1,2.987830988213047
2011-01-01,0.1605545917144512,51.7,2.829593855106243
2012-01-01,0.1605545917144234,49.0,2.804754137779311
2013-01-01,0.1605545917143956,46.8,2.874141717261047
2014-01-01,0.1605545917143678,47.5,2.8458583039383014
2015-01-01,0.16055459171434,47.1,2.90416885581749
2016-01-01,0.16055459171434,48.1,2.7027965186664735
2017-01-01,0.16055459171434,52.5,2.42847001765083
2018-01-01,0.16055459171434,52.5,2.220796107505618
2019-01-01,0.16055459171434,51.0,2.159364796338184
2020-01-01,0.16055459171434,60.1,1.8438867778824348
2021-01-01,0.16055459171434,52.9,1.8651743264280658
2022-01-01,0.16055459171434,52.9,1.8860879838206392
2023-01-01,0.16055459171434,52.9,1.8422033514861236
2024-01-01,0.16055459171434,52.9,1.8422033514861236
