Year,land_area_where_elevation_is_below_5_meters_of_total_land_area_,renewable_energy_consumption_of_total_final_energy_consumption_,total_greenhouse_gas_emissions_excluding_lulucf_per_capita_t_co2e_capita_
1960-01-01,1.13834932200447,93.7,0.7773428030865333
1961-01-01,1.13834932200447,93.7,0.7773428030865333
1962-01-01,1.13834932200447,93.7,0.7773428030865333
1963-01-01,1.13834932200447,93.7,0.7773428030865333
1964-01-01,1.13834932200447,93.7,0.7773428030865333
1965-01-01,1.13834932200447,93.7,0.7773428030865333
1966-01-01,1.13834932200447,93.7,0.7773428030865333
1967-01-01,1.13834932200447,93.7,0.7773428030865333
1968-01-01,1.13834932200447,93.7,0.7773428030865333
1969-01-01,1.13834932200447,93.7,0.7773428030865333
1970-01-01,1.13834932200447,93.7,0.7773428030865333
1971-01-01,1.13834932200447,93.7,0.7883520529595979
1972-01-01,1.13834932200447,93.7,0.8351875563320585
1973-01-01,1.13834932200447,93.7,0.8589320650915975
1974-01-01,1.13834932200447,93.7,0.8330376820783
1975-01-01,1.13834932200447,93.7,0.8684895572569511
1976-01-01,1.13834932200447,93.7,0.8112233862447045
1977-01-01,1.13834932200447,93.7,0.821980115930605
1978-01-01,1.13834932200447,93.7,0.8277158544014007
1979-01-01,1.13834932200447,93.7,0.8360027738437429
1980-01-01,1.13834932200447,93.7,0.8531428945562972
1981-01-01,1.13834932200447,93.7,0.8767535504358633
1982-01-01,1.13834932200447,93.7,0.9061020123196962
1983-01-01,1.13834932200447,93.7,0.8642016855426693
1984-01-01,1.13834932200447,93.7,0.8588947308095176
1985-01-01,1.13834932200447,93.7,0.8809804822023388
1986-01-01,1.13834932200447,93.7,0.7997356387233661
1987-01-01,1.13834932200447,93.7,0.770823034455221
1988-01-01,1.13834932200447,93.7,0.7411409846837574
1989-01-01,1.13834932200447,93.7,0.7175412176176578
1990-01-01,1.13834932200447,93.7,0.7302878606541843
1991-01-01,1.138349322003607,95.0,0.7248300511186848
1992-01-01,1.138349322002744,94.8,0.7215223491431944
1993-01-01,1.138349322001881,95.0,0.6937006552005157
1994-01-01,1.1383493220010181,95.0,0.7227910544170711
1995-01-01,1.138349322000155,94.8,0.6727561772365879
1996-01-01,1.138349321999292,84.2,0.8031467532601633
1997-01-01,1.138349321998429,80.6,0.8232112301231969
1998-01-01,1.138349321997566,79.6,0.8010617588451796
1999-01-01,1.1383493219967031,76.9,0.8261388486749192
2000-01-01,1.13834932199584,70.3,0.8327910957362884
2001-01-01,1.1383493219962788,66.9,0.8797415277433801
2002-01-01,1.1383493219967173,64.0,0.9124574974731043
2003-01-01,1.138349321997156,61.7,0.9300435861176509
2004-01-01,1.1383493219975946,60.7,0.9410603677320055
2005-01-01,1.1383493219980334,59.2,0.9649609596038236
2006-01-01,1.138349321998472,57.3,1.0796777542831546
2007-01-01,1.1383493219989107,54.5,1.127723359328137
2008-01-01,1.1383493219993492,54.8,1.107074566889015
2009-01-01,1.138349321999788,52.8,1.1303945570619793
2010-01-01,1.1383493220002265,47.2,1.1865597330906588
2011-01-01,1.1383493220006653,48.7,1.1616839662032157
2012-01-01,1.1383493220011038,50.3,1.124676453551026
2013-01-01,1.1383493220015426,52.0,1.1663734819308993
2014-01-01,1.1383493220019811,51.0,1.1841065515479416
2015-01-01,1.13834932200242,49.9,1.197393008394479
2016-01-01,1.13834932200242,45.4,1.3083780752039564
2017-01-01,1.13834932200242,45.4,1.2993260674198366
2018-01-01,1.13834932200242,44.0,1.3847467893777021
2019-01-01,1.13834932200242,46.5,1.3489220150776848
2020-01-01,1.13834932200242,46.2,1.3506175780894645
2021-01-01,1.13834932200242,54.5,1.1942221732165637
2022-01-01,1.13834932200242,54.5,1.2075292556030919
2023-01-01,1.13834932200242,54.5,1.183435600821315
2024-01-01,1.13834932200242,54.5,1.183435600821315
