Year,land_area_where_elevation_is_below_5_meters_of_total_land_area_,renewable_energy_consumption_of_total_final_energy_consumption_,total_greenhouse_gas_emissions_excluding_lulucf_per_capita_t_co2e_capita_
1960-01-01,0.0,49.0,5.72641928128822
1961-01-01,0.0,49.0,5.72641928128822
1962-01-01,0.0,49.0,5.72641928128822
1963-01-01,0.0,49.0,5.72641928128822
1964-01-01,0.0,49.0,5.72641928128822
1965-01-01,0.0,49.0,5.72641928128822
1966-01-01,0.0,49.0,5.72641928128822
1967-01-01,0.0,49.0,5.72641928128822
1968-01-01,0.0,49.0,5.72641928128822
1969-01-01,0.0,49.0,5.72641928128822
1970-01-01,0.0,49.0,5.72641928128822
1971-01-01,0.0,49.0,5.8401514785646835
1972-01-01,0.0,49.0,6.5548748648392445
1973-01-01,0.0,49.0,6.604302828904612
1974-01-01,0.0,49.0,7.1512353964122735
1975-01-01,0.0,49.0,7.589744301618591
1976-01-01,0.0,49.0,8.297077947760604
1977-01-01,0.0,49.0,8.558682498430414
1978-01-01,0.0,49.0,7.769662015051122
1979-01-01,0.0,49.0,7.409436401986378
1980-01-01,0.0,49.0,7.348597577561241
1981-01-01,0.0,49.0,7.352916919245027
1982-01-01,0.0,49.0,7.263970259663182
1983-01-01,0.0,49.0,6.733439310530074
1984-01-01,0.0,49.0,6.268940442574239
1985-01-01,0.0,49.0,5.795916912148099
1986-01-01,0.0,49.0,5.752552449058718
1987-01-01,0.0,49.0,5.660846237429816
1988-01-01,0.0,49.0,6.267867607302772
1989-01-01,0.0,49.0,6.444593843532971
1990-01-01,0.0,49.0,7.033413597039434
1991-01-01,0.0,49.5,6.118027420782914
1992-01-01,0.0,46.1,6.131809891502595
1993-01-01,0.0,47.3,5.778053185833542
1994-01-01,0.0,49.8,5.708060763426329
1995-01-01,0.0,48.9,6.246247087740087
1996-01-01,0.0,46.4,5.496206167793249
1997-01-01,0.0,45.8,5.540020271160171
1998-01-01,0.0,39.2,5.947106818785748
1999-01-01,0.0,41.6,6.214262267227041
2000-01-01,0.0,38.5,6.298863347764552
2001-01-01,0.0,37.5,5.832195456982434
2002-01-01,0.0,36.1,5.474038594353503
2003-01-01,0.0,36.2,5.248865822397024
2004-01-01,0.0,34.3,5.125817172491874
2005-01-01,0.0,33.0,5.391610417435513
2006-01-01,0.0,31.8,5.19045983069763
2007-01-01,0.0,29.0,5.212847837563919
2008-01-01,0.0,27.8,5.254285963373795
2009-01-01,0.0,28.9,5.054119888098145
2010-01-01,0.0,29.9,4.87253278350272
2011-01-01,0.0,28.9,4.972329861806046
2012-01-01,0.0,27.8,4.493371721844222
2013-01-01,0.0,26.7,5.338345443181192
2014-01-01,0.0,25.8,5.794403796608171
2015-01-01,0.0,26.1,5.914201281457178
2016-01-01,0.0,26.7,5.435891561391387
2017-01-01,0.0,26.7,5.483937995726916
2018-01-01,0.0,25.6,5.8428778400280805
2019-01-01,0.0,26.2,5.218510661927556
2020-01-01,0.0,27.7,4.44005521802752
2021-01-01,0.0,27.4,4.808612828714092
2022-01-01,0.0,27.4,5.0792002268952885
2023-01-01,0.0,27.4,5.125624736921044
2024-01-01,0.0,27.4,5.125624736921044
