Year,land_area_where_elevation_is_below_5_meters_of_total_land_area_,renewable_energy_consumption_of_total_final_energy_consumption_,total_greenhouse_gas_emissions_excluding_lulucf_per_capita_t_co2e_capita_
1960-01-01,0.0,86.3,1.1532173657612848
1961-01-01,0.0,86.3,1.1532173657612848
1962-01-01,0.0,86.3,1.1532173657612848
1963-01-01,0.0,86.3,1.1532173657612848
1964-01-01,0.0,86.3,1.1532173657612848
1965-01-01,0.0,86.3,1.1532173657612848
1966-01-01,0.0,86.3,1.1532173657612848
1967-01-01,0.0,86.3,1.1532173657612848
1968-01-01,0.0,86.3,1.1532173657612848
1969-01-01,0.0,86.3,1.1532173657612848
1970-01-01,0.0,86.3,1.1532173657612848
1971-01-01,0.0,86.3,1.1381046142439757
1972-01-01,0.0,86.3,1.062244090732352
1973-01-01,0.0,86.3,0.993500088888107
1974-01-01,0.0,86.3,0.9927295107108759
1975-01-01,0.0,86.3,1.0054706177352382
1976-01-01,0.0,86.3,1.0122065682848949
1977-01-01,0.0,86.3,1.0057812315768548
1978-01-01,0.0,86.3,1.0187553178705941
1979-01-01,0.0,86.3,1.0388085104118139
1980-01-01,0.0,86.3,1.03953712632594
1981-01-01,0.0,86.3,1.052817182989273
1982-01-01,0.0,86.3,1.0686770395944414
1983-01-01,0.0,86.3,1.071124596070336
1984-01-01,0.0,86.3,1.0667816397195358
1985-01-01,0.0,86.3,1.1532093698261299
1986-01-01,0.0,86.3,1.1632978471953603
1987-01-01,0.0,86.3,1.1756381524703066
1988-01-01,0.0,86.3,1.17771240878349
1989-01-01,0.0,86.3,1.1728948260739196
1990-01-01,0.0,86.3,1.2263962662877173
1991-01-01,0.0,86.1,1.2584314106183192
1992-01-01,0.0,86.4,1.2400829761326786
1993-01-01,0.0,86.3,1.2380829953220884
1994-01-01,0.0,86.2,1.2454021702131945
1995-01-01,0.0,86.4,1.2526281150106837
1996-01-01,0.0,85.8,1.2572422034579391
1997-01-01,0.0,85.2,1.2735792931971481
1998-01-01,0.0,84.1,1.2741951898926966
1999-01-01,0.0,83.1,1.1867374034637623
2000-01-01,0.0,83.9,1.1807006572277698
2001-01-01,0.0,81.7,1.2754858661662574
2002-01-01,0.0,81.8,1.268632652721649
2003-01-01,0.0,80.8,1.4816856553456166
2004-01-01,0.0,82.0,1.4582535371010907
2005-01-01,0.0,85.4,1.4569208152985726
2006-01-01,0.0,84.8,1.4440533677220497
2007-01-01,0.0,82.9,1.4620579878643172
2008-01-01,0.0,83.5,1.4871124458344827
2009-01-01,0.0,83.3,1.4756080591895666
2010-01-01,0.0,82.1,1.4787007670016095
2011-01-01,0.0,81.4,1.4756293216839274
2012-01-01,0.0,79.2,1.4807462745061273
2013-01-01,0.0,78.7,1.4909121343281753
2014-01-01,0.0,78.9,1.4574978382520472
2015-01-01,0.0,78.8,1.5012765020154188
2016-01-01,0.0,77.1,1.4953563657262305
2017-01-01,0.0,74.6,1.507086891305682
2018-01-01,0.0,73.7,1.5215902623546553
2019-01-01,0.0,72.7,1.5477136862063228
2020-01-01,0.0,73.1,1.3420138751478792
2021-01-01,0.0,71.2,1.5296262014472857
2022-01-01,0.0,71.4,1.5114373168680066
2023-01-01,0.0,71.4,1.4964446800837463
2024-01-01,0.0,71.4,1.4964446800837463
