Year,land_area_where_elevation_is_below_5_meters_of_total_land_area_,renewable_energy_consumption_of_total_final_energy_consumption_,total_greenhouse_gas_emissions_excluding_lulucf_per_capita_t_co2e_capita_
1960-01-01,0.0,94.6,0.5638120207385385
1961-01-01,0.0,94.6,0.5638120207385385
1962-01-01,0.0,94.6,0.5638120207385385
1963-01-01,0.0,94.6,0.5638120207385385
1964-01-01,0.0,94.6,0.5638120207385385
1965-01-01,0.0,94.6,0.5638120207385385
1966-01-01,0.0,94.6,0.5638120207385385
1967-01-01,0.0,94.6,0.5638120207385385
1968-01-01,0.0,94.6,0.5638120207385385
1969-01-01,0.0,94.6,0.5638120207385385
1970-01-01,0.0,94.6,0.5638120207385385
1971-01-01,0.0,94.6,0.5483941150402968
1972-01-01,0.0,94.6,0.5741571766329531
1973-01-01,0.0,94.6,0.5902561772717596
1974-01-01,0.0,94.6,0.5818408625144792
1975-01-01,0.0,94.6,0.5892358766184166
1976-01-01,0.0,94.6,0.579659230634112
1977-01-01,0.0,94.6,0.5686339580809433
1978-01-01,0.0,94.6,0.5604659908524614
1979-01-01,0.0,94.6,0.5636215276208331
1980-01-01,0.0,94.6,0.4862780487560069
1981-01-01,0.0,94.6,0.42352038342414194
1982-01-01,0.0,94.6,0.4180595934113586
1983-01-01,0.0,94.6,0.41680114995690987
1984-01-01,0.0,94.6,0.4219658517821603
1985-01-01,0.0,94.6,0.40363191248702335
1986-01-01,0.0,94.6,0.4344940767112968
1987-01-01,0.0,94.6,0.4327538446205991
1988-01-01,0.0,94.6,0.446310168979449
1989-01-01,0.0,94.6,0.4461497017566367
1990-01-01,0.0,94.6,0.5176611923425807
1991-01-01,0.0,93.5,0.5305357409907016
1992-01-01,0.0,94.3,0.508022061287309
1993-01-01,0.0,94.0,0.5318977466877277
1994-01-01,0.0,93.9,0.5252846852579712
1995-01-01,0.0,93.7,0.5135241883212152
1996-01-01,0.0,93.5,0.5316525508746717
1997-01-01,0.0,93.4,0.5420555574409534
1998-01-01,0.0,93.2,0.5267404415762582
1999-01-01,0.0,93.8,0.44914476606616055
2000-01-01,0.0,93.2,0.4504656274603204
2001-01-01,0.0,94.7,0.43184238431259064
2002-01-01,0.0,94.6,0.4154227966282012
2003-01-01,0.0,95.8,0.40818360637861956
2004-01-01,0.0,96.0,0.41405313011582
2005-01-01,0.0,96.0,0.4140867520839761
2006-01-01,0.0,95.3,0.42559023549156855
2007-01-01,0.0,95.3,0.443035508756935
2008-01-01,0.0,95.0,0.42741066894813406
2009-01-01,0.0,94.6,0.4290402190699096
2010-01-01,0.0,93.2,0.44158531741884244
2011-01-01,0.0,92.1,0.451523969286615
2012-01-01,0.0,91.7,0.4338881790419012
2013-01-01,0.0,90.8,0.5161532705943794
2014-01-01,0.0,91.3,0.4925653612548769
2015-01-01,0.0,91.2,0.48025902505345064
2016-01-01,0.0,89.6,0.4995617668514236
2017-01-01,0.0,88.2,0.5429329293505852
2018-01-01,0.0,85.7,0.544932705962825
2019-01-01,0.0,84.8,0.4985665019710598
2020-01-01,0.0,83.4,0.4784483455543758
2021-01-01,0.0,83.1,0.527199877891148
2022-01-01,0.0,83.0,0.525196986404348
2023-01-01,0.0,83.0,0.514929379923956
2024-01-01,0.0,83.0,0.514929379923956
