Year,land_area_where_elevation_is_below_5_meters_of_total_land_area_,renewable_energy_consumption_of_total_final_energy_consumption_,total_greenhouse_gas_emissions_excluding_lulucf_per_capita_t_co2e_capita_
1960-01-01,5.42512817792172,21.1,0.7930249926185803
1961-01-01,5.42512817792172,21.1,0.7930249926185803
1962-01-01,5.42512817792172,21.1,0.7930249926185803
1963-01-01,5.42512817792172,21.1,0.7930249926185803
1964-01-01,5.42512817792172,21.1,0.7930249926185803
1965-01-01,5.42512817792172,21.1,0.7930249926185803
1966-01-01,5.42512817792172,21.1,0.7930249926185803
1967-01-01,5.42512817792172,21.1,0.7930249926185803
1968-01-01,5.42512817792172,21.1,0.7930249926185803
1969-01-01,5.42512817792172,21.1,0.7930249926185803
1970-01-01,5.42512817792172,21.1,0.7930249926185803
1971-01-01,5.42512817792172,21.1,0.7699475592254273
1972-01-01,5.42512817792172,21.1,0.7703792377583343
1973-01-01,5.42512817792172,21.1,0.770305554536633
1974-01-01,5.42512817792172,21.1,0.789899857884126
1975-01-01,5.42512817792172,21.1,0.8000732392339961
1976-01-01,5.42512817792172,21.1,0.8165969203923026
1977-01-01,5.42512817792172,21.1,0.8333493162507911
1978-01-01,5.42512817792172,21.1,0.8426459843047697
1979-01-01,5.42512817792172,21.1,0.9318267184174284
1980-01-01,5.42512817792172,21.1,0.9186485658875165
1981-01-01,5.42512817792172,21.1,0.8857817389872074
1982-01-01,5.42512817792172,21.1,0.521753765884036
1983-01-01,5.42512817792172,21.1,0.5037701315547869
1984-01-01,5.42512817792172,21.1,0.5448095648238712
1985-01-01,5.42512817792172,21.1,0.5550357692916672
1986-01-01,5.42512817792172,21.1,0.3638820136697019
1987-01-01,5.42512817792172,21.1,0.4326871945860924
1988-01-01,5.42512817792172,21.1,0.49457813202917794
1989-01-01,5.42512817792172,21.1,0.5247374273728055
1990-01-01,5.42512817792172,21.1,0.5686842750141171
1991-01-01,5.425128177919628,26.3,0.6178072004701158
1992-01-01,5.425128177917536,26.3,0.6758766188376143
1993-01-01,5.425128177915444,30.4,0.6694612715037379
1994-01-01,5.425128177913352,32.4,0.6481761361974318
1995-01-01,5.42512817791126,30.8,0.7053269043108892
1996-01-01,5.425128177909168,30.2,0.6659131869138895
1997-01-01,5.425128177907076,30.5,0.6915466337644813
1998-01-01,5.425128177904984,30.0,0.7264930056573228
1999-01-01,5.4251281779028915,26.9,0.7558468956528166
2000-01-01,5.4251281779008,27.9,1.1643066551662524
2001-01-01,5.425128177902149,26.0,1.2172681313858782
2002-01-01,5.425128177903498,26.0,1.285954702534654
2003-01-01,5.425128177904848,24.8,1.1419928472294105
2004-01-01,5.425128177906197,24.4,1.2099213551119177
2005-01-01,5.425128177907546,23.9,1.655896024653948
2006-01-01,5.425128177908896,21.2,1.7541285600169543
2007-01-01,5.425128177910245,21.0,1.8924202422459138
2008-01-01,5.425128177911595,23.8,1.8344286982278026
2009-01-01,5.425128177912944,22.1,1.7959422374397649
2010-01-01,5.425128177914293,21.2,1.8766771809236853
2011-01-01,5.425128177915642,20.8,2.121040889867376
2012-01-01,5.425128177916991,24.3,1.8816106884394137
2013-01-01,5.425128177918341,25.9,1.84938259553907
2014-01-01,5.4251281779196905,26.1,1.9229943434453842
2015-01-01,5.42512817792104,26.4,1.9424505361108833
2016-01-01,5.42512817792104,23.9,2.0263230801047305
2017-01-01,5.42512817792104,21.8,2.087764894432172
2018-01-01,5.42512817792104,21.9,2.0951861554492957
2019-01-01,5.42512817792104,19.7,2.204417783172276
2020-01-01,5.42512817792104,23.4,2.3115378711779573
2021-01-01,5.42512817792104,22.6,2.347628660850984
2022-01-01,5.42512817792104,21.8,2.4256312278615693
2023-01-01,5.42512817792104,21.8,2.3577003853878096
2024-01-01,5.42512817792104,21.8,2.3577003853878096
