Year,land_area_where_elevation_is_below_5_meters_of_total_land_area_,renewable_energy_consumption_of_total_final_energy_consumption_,total_greenhouse_gas_emissions_excluding_lulucf_per_capita_t_co2e_capita_
1960-01-01,0.463427153686798,81.6,1.1496648031960095
1961-01-01,0.463427153686798,81.6,1.1496648031960095
1962-01-01,0.463427153686798,81.6,1.1496648031960095
1963-01-01,0.463427153686798,81.6,1.1496648031960095
1964-01-01,0.463427153686798,81.6,1.1496648031960095
1965-01-01,0.463427153686798,81.6,1.1496648031960095
1966-01-01,0.463427153686798,81.6,1.1496648031960095
1967-01-01,0.463427153686798,81.6,1.1496648031960095
1968-01-01,0.463427153686798,81.6,1.1496648031960095
1969-01-01,0.463427153686798,81.6,1.1496648031960095
1970-01-01,0.463427153686798,81.6,1.1496648031960095
1971-01-01,0.463427153686798,81.6,1.169206365308417
1972-01-01,0.463427153686798,81.6,1.1069107807521574
1973-01-01,0.463427153686798,81.6,1.082030568871433
1974-01-01,0.463427153686798,81.6,1.079879108922494
1975-01-01,0.463427153686798,81.6,1.1418903573282575
1976-01-01,0.463427153686798,81.6,1.1521642250908861
1977-01-01,0.463427153686798,81.6,1.2483548709863566
1978-01-01,0.463427153686798,81.6,1.3249381764997432
1979-01-01,0.463427153686798,81.6,1.5580654545507504
1980-01-01,0.463427153686798,81.6,1.853253540586773
1981-01-01,0.463427153686798,81.6,2.107192103967423
1982-01-01,0.463427153686798,81.6,2.2488895938032125
1983-01-01,0.463427153686798,81.6,2.478449924620719
1984-01-01,0.463427153686798,81.6,2.6994922891399944
1985-01-01,0.463427153686798,81.6,3.050924375085154
1986-01-01,0.463427153686798,81.6,3.0046493449228664
1987-01-01,0.463427153686798,81.6,2.9027604467141184
1988-01-01,0.463427153686798,81.6,2.5802510592451
1989-01-01,0.463427153686798,81.6,2.744933196216035
1990-01-01,0.463427153686798,81.6,2.6338485226690396
1991-01-01,0.4634271536867078,83.2,2.490207573723899
1992-01-01,0.4634271536866176,84.4,2.3335395852512417
1993-01-01,0.46342715368652737,83.9,2.2060641953849593
1994-01-01,0.46342715368643717,83.6,2.0804566551983905
1995-01-01,0.463427153686347,84.5,2.069009985514434
1996-01-01,0.4634271536862568,84.9,2.107119793522909
1997-01-01,0.4634271536861666,84.7,2.0161719447697872
1998-01-01,0.4634271536860764,84.5,2.00853172106334
1999-01-01,0.4634271536859862,86.2,2.0010271845916803
2000-01-01,0.463427153685896,84.6,2.036682863003852
2001-01-01,0.4634271536858981,85.3,1.9893935069032347
2002-01-01,0.46342715368590026,85.2,1.8643507550271128
2003-01-01,0.46342715368590237,85.3,1.857429979814781
2004-01-01,0.46342715368590454,85.5,1.7926265497212694
2005-01-01,0.46342715368590665,86.3,1.75422619126405
2006-01-01,0.4634271536859088,85.5,1.6668331395391571
2007-01-01,0.4634271536859109,80.8,1.667488832068617
2008-01-01,0.4634271536859131,80.8,1.6087547060265135
2009-01-01,0.4634271536859152,79.2,1.6043864033716904
2010-01-01,0.46342715368591736,78.7,1.5400344904272745
2011-01-01,0.46342715368591947,78.6,1.4782696029082993
2012-01-01,0.46342715368592163,78.6,1.4739833852078055
2013-01-01,0.46342715368592374,77.7,1.527073442686924
2014-01-01,0.4634271536859259,76.9,1.5849487574577084
2015-01-01,0.463427153685928,78.1,1.669213589842016
2016-01-01,0.463427153685928,78.8,1.6285340584129189
2017-01-01,0.463427153685928,79.2,1.5311579813516745
2018-01-01,0.463427153685928,78.7,1.5037540942587238
2019-01-01,0.463427153685928,78.9,1.490012485251074
2020-01-01,0.463427153685928,78.9,1.4793733120828636
2021-01-01,0.463427153685928,79.2,1.4448153382862188
2022-01-01,0.463427153685928,79.2,1.429071300884012
2023-01-01,0.463427153685928,79.2,1.3878558629290205
2024-01-01,0.463427153685928,79.2,1.3878558629290205
