Year,land_area_where_elevation_is_below_5_meters_of_total_land_area_,renewable_energy_consumption_of_total_final_energy_consumption_,total_greenhouse_gas_emissions_excluding_lulucf_per_capita_t_co2e_capita_
1960-01-01,0.0,93.9,0.7764939773683496
1961-01-01,0.0,93.9,0.7764939773683496
1962-01-01,0.0,93.9,0.7764939773683496
1963-01-01,0.0,93.9,0.7764939773683496
1964-01-01,0.0,93.9,0.7764939773683496
1965-01-01,0.0,93.9,0.7764939773683496
1966-01-01,0.0,93.9,0.7764939773683496
1967-01-01,0.0,93.9,0.7764939773683496
1968-01-01,0.0,93.9,0.7764939773683496
1969-01-01,0.0,93.9,0.7764939773683496
1970-01-01,0.0,93.9,0.7764939773683496
1971-01-01,0.0,93.9,0.795068761820262
1972-01-01,0.0,93.9,0.8229808189419302
1973-01-01,0.0,93.9,0.8328361802832694
1974-01-01,0.0,93.9,0.8714876320759622
1975-01-01,0.0,93.9,0.8757016244323476
1976-01-01,0.0,93.9,0.8969302970408326
1977-01-01,0.0,93.9,0.9618909955203062
1978-01-01,0.0,93.9,1.0391745320295034
1979-01-01,0.0,93.9,1.2739118918521952
1980-01-01,0.0,93.9,1.3407684444417238
1981-01-01,0.0,93.9,1.3742322674045615
1982-01-01,0.0,93.9,2.6078667929607655
1983-01-01,0.0,93.9,2.62091220182557
1984-01-01,0.0,93.9,2.4243073101794357
1985-01-01,0.0,93.9,2.457196112778035
1986-01-01,0.0,93.9,2.633341153372221
1987-01-01,0.0,93.9,2.5554904080130227
1988-01-01,0.0,93.9,2.4428465363407414
1989-01-01,0.0,93.9,2.659439577294296
1990-01-01,0.0,93.9,2.6283553453973143
1991-01-01,0.0,94.1,2.7160922127530758
1992-01-01,0.0,94.1,2.625512818459078
1993-01-01,0.0,93.8,2.375421926196997
1994-01-01,0.0,93.2,2.499851133564194
1995-01-01,0.0,93.0,2.495152405040304
1996-01-01,0.0,91.7,2.532738255482812
1997-01-01,0.0,91.9,2.2180536285641477
1998-01-01,0.0,89.0,2.5146968979232134
1999-01-01,0.0,89.0,2.395527490648755
2000-01-01,0.0,88.9,2.3856529007026634
2001-01-01,0.0,88.9,2.442666604073441
2002-01-01,0.0,89.2,2.140897441561907
2003-01-01,0.0,90.2,2.367510698045325
2004-01-01,0.0,90.6,2.1625748361606227
2005-01-01,0.0,91.0,2.2868114931647705
2006-01-01,0.0,90.8,2.2527063475039513
2007-01-01,0.0,90.9,2.433645471310419
2008-01-01,0.0,93.6,2.387988200879845
2009-01-01,0.0,93.9,2.263412148295215
2010-01-01,0.0,93.8,2.4214805491659797
2011-01-01,0.0,93.3,2.5829673072697803
2012-01-01,0.0,93.1,2.4975015441844968
2013-01-01,0.0,95.1,2.4645556551444407
2014-01-01,0.0,94.8,2.4570955675117268
2015-01-01,0.0,92.9,2.5395522452541623
2016-01-01,0.0,92.1,2.6538172117947334
2017-01-01,0.0,91.6,2.5010060475505322
2018-01-01,0.0,91.4,2.5165737210055963
2019-01-01,0.0,91.3,2.4453440378522227
2020-01-01,0.0,90.9,2.4862392840687635
2021-01-01,0.0,90.9,2.4699829815535685
2022-01-01,0.0,90.9,2.55476664654782
2023-01-01,0.0,90.9,2.4265486069558366
2024-01-01,0.0,90.9,2.4265486069558366
