Year,land_area_where_elevation_is_below_5_meters_of_total_land_area_,renewable_energy_consumption_of_total_final_energy_consumption_,total_greenhouse_gas_emissions_excluding_lulucf_per_capita_t_co2e_capita_
1960-01-01,0.0,89.5,2.39469202978249
1961-01-01,0.0,89.5,2.39469202978249
1962-01-01,0.0,89.5,2.39469202978249
1963-01-01,0.0,89.5,2.39469202978249
1964-01-01,0.0,89.5,2.39469202978249
1965-01-01,0.0,89.5,2.39469202978249
1966-01-01,0.0,89.5,2.39469202978249
1967-01-01,0.0,89.5,2.39469202978249
1968-01-01,0.0,89.5,2.39469202978249
1969-01-01,0.0,89.5,2.39469202978249
1970-01-01,0.0,89.5,2.39469202978249
1971-01-01,0.0,89.5,2.383253714690349
1972-01-01,0.0,89.5,2.4774661388474213
1973-01-01,0.0,89.5,2.198795807932394
1974-01-01,0.0,89.5,1.7833166109089054
1975-01-01,0.0,89.5,1.8090176841521257
1976-01-01,0.0,89.5,1.8045786968071156
1977-01-01,0.0,89.5,1.8244938957680727
1978-01-01,0.0,89.5,1.9214003100173507
1979-01-01,0.0,89.5,1.987755094793252
1980-01-01,0.0,89.5,2.070578522243505
1981-01-01,0.0,89.5,2.151136517716705
1982-01-01,0.0,89.5,2.2233064885956115
1983-01-01,0.0,89.5,2.198596943642765
1984-01-01,0.0,89.5,2.191274978221637
1985-01-01,0.0,89.5,2.24968501466465
1986-01-01,0.0,89.5,2.3860094011333692
1987-01-01,0.0,89.5,2.478582956577127
1988-01-01,0.0,89.5,2.5532378579216948
1989-01-01,0.0,89.5,2.6525598212656365
1990-01-01,0.0,89.5,2.86745426455995
1991-01-01,0.0,89.3,2.9041316369078887
1992-01-01,0.0,89.2,2.899443615228361
1993-01-01,0.0,89.5,2.917691057038116
1994-01-01,0.0,89.3,3.0044004157176656
1995-01-01,0.0,89.2,3.0125979960118854
1996-01-01,0.0,89.0,2.9930332999195155
1997-01-01,0.0,88.9,2.9957501376075144
1998-01-01,0.0,88.9,3.0539222354903233
1999-01-01,0.0,88.7,3.108830974721822
2000-01-01,0.0,88.7,3.133518395534447
2001-01-01,0.0,88.6,3.174921207379633
2002-01-01,0.0,88.5,3.2332579217287223
2003-01-01,0.0,83.9,3.3319410238354745
2004-01-01,0.0,84.0,3.5152190979952085
2005-01-01,0.0,83.8,3.5630879353127374
2006-01-01,0.0,83.7,3.590031554887047
2007-01-01,0.0,82.4,3.6373341178126744
2008-01-01,0.0,79.8,3.6679256094475083
2009-01-01,0.0,79.4,3.7162783087660967
2010-01-01,0.0,79.2,3.7983200102334402
2011-01-01,0.0,80.7,3.8441169370718007
2012-01-01,0.0,76.1,3.949845424244254
2013-01-01,0.0,72.6,4.010728445873404
2014-01-01,0.0,72.5,4.076031607736817
2015-01-01,0.0,72.7,4.283685384814367
2016-01-01,0.0,72.7,4.369037864245
2017-01-01,0.0,72.8,4.471546927146479
2018-01-01,0.0,73.1,4.569452440007078
2019-01-01,0.0,72.8,4.670893520572066
2020-01-01,0.0,71.9,4.759490728390352
2021-01-01,0.0,69.9,4.79612915956582
2022-01-01,0.0,70.0,4.932654634577918
2023-01-01,0.0,70.0,4.936952432063997
2024-01-01,0.0,70.0,4.936952432063997
