Year,land_area_where_elevation_is_below_5_meters_of_total_land_area_,renewable_energy_consumption_of_total_final_energy_consumption_,total_greenhouse_gas_emissions_excluding_lulucf_per_capita_t_co2e_capita_
1960-01-01,4.02107712975809,74.0,0.908737227921453
1961-01-01,4.02107712975809,74.0,0.908737227921453
1962-01-01,4.02107712975809,74.0,0.908737227921453
1963-01-01,4.02107712975809,74.0,0.908737227921453
1964-01-01,4.02107712975809,74.0,0.908737227921453
1965-01-01,4.02107712975809,74.0,0.908737227921453
1966-01-01,4.02107712975809,74.0,0.908737227921453
1967-01-01,4.02107712975809,74.0,0.908737227921453
1968-01-01,4.02107712975809,74.0,0.908737227921453
1969-01-01,4.02107712975809,74.0,0.908737227921453
1970-01-01,4.02107712975809,74.0,0.908737227921453
1971-01-01,4.02107712975809,74.0,0.8933357155619082
1972-01-01,4.02107712975809,74.0,0.8747409421056073
1973-01-01,4.02107712975809,74.0,0.862287032214865
1974-01-01,4.02107712975809,74.0,0.8569630495369955
1975-01-01,4.02107712975809,74.0,0.8432629339710523
1976-01-01,4.02107712975809,74.0,0.8439258178787247
1977-01-01,4.02107712975809,74.0,0.8332818560434879
1978-01-01,4.02107712975809,74.0,0.8234494220744881
1979-01-01,4.02107712975809,74.0,0.8249158762748213
1980-01-01,4.02107712975809,74.0,0.7979959789293529
1981-01-01,4.02107712975809,74.0,0.7706213908607815
1982-01-01,4.02107712975809,74.0,0.7394879864702538
1983-01-01,4.02107712975809,74.0,0.7172558021746412
1984-01-01,4.02107712975809,74.0,0.7038505231214102
1985-01-01,4.02107712975809,74.0,0.672585695451549
1986-01-01,4.02107712975809,74.0,0.6215597593897595
1987-01-01,4.02107712975809,74.0,0.6836582293592958
1988-01-01,4.02107712975809,74.0,0.6670824568933831
1989-01-01,4.02107712975809,74.0,0.6566567306160428
1990-01-01,4.02107712975809,74.0,0.7413472006045938
1991-01-01,4.021077129758194,73.4,0.6688530059970674
1992-01-01,4.0210771297583,73.6,0.6480145685027079
1993-01-01,4.021077129758405,73.1,0.6474807993548414
1994-01-01,4.02107712975851,73.3,0.6475270770851741
1995-01-01,4.0210771297586145,73.0,0.6569694202443608
1996-01-01,4.02107712975872,73.4,0.6663901728487077
1997-01-01,4.021077129758825,72.9,0.6656465338130715
1998-01-01,4.02107712975893,71.5,0.6953195624442264
1999-01-01,4.0210771297590355,71.1,0.728865191315228
2000-01-01,4.02107712975914,69.9,0.7788016713923295
2001-01-01,4.02107712976027,69.5,0.7693432257592924
2002-01-01,4.021077129761401,70.3,0.7739885458283162
2003-01-01,4.0210771297625305,64.4,0.800634610862095
2004-01-01,4.02107712976366,63.5,0.8212445583292004
2005-01-01,4.02107712976479,65.7,0.8071850265827761
2006-01-01,4.021077129765921,61.8,0.844146287823293
2007-01-01,4.0210771297670505,74.4,0.741740919103881
2008-01-01,4.02107712976818,73.4,0.7370011774857105
2009-01-01,4.02107712976931,68.5,0.7760765296823569
2010-01-01,4.021077129770441,66.0,0.8026437153730094
2011-01-01,4.02107712977157,69.0,0.7750847234363587
2012-01-01,4.0210771297727,68.3,0.7774012294059828
2013-01-01,4.02107712977383,63.6,0.8142868633940062
2014-01-01,4.021077129774961,68.0,0.7745575211910561
2015-01-01,4.02107712977609,67.0,0.7813596593833341
2016-01-01,4.02107712977609,64.0,0.8140307735449436
2017-01-01,4.02107712977609,59.5,0.8809664463589759
2018-01-01,4.02107712977609,57.7,0.9026814759133737
2019-01-01,4.02107712977609,55.3,0.9536244339404356
2020-01-01,4.02107712977609,50.8,0.9625225795754728
2021-01-01,4.02107712977609,41.2,0.9455201460813959
2022-01-01,4.02107712977609,39.3,0.9083084388651
2023-01-01,4.02107712977609,39.3,0.8958274291587243
2024-01-01,4.02107712977609,39.3,0.8958274291587243
