Year,land_area_where_elevation_is_below_5_meters_of_total_land_area_,renewable_energy_consumption_of_total_final_energy_consumption_,total_greenhouse_gas_emissions_excluding_lulucf_per_capita_t_co2e_capita_
1960-01-01,0.512809665148453,73.6,1.1778658565993916
1961-01-01,0.512809665148453,73.6,1.1778658565993916
1962-01-01,0.512809665148453,73.6,1.1778658565993916
1963-01-01,0.512809665148453,73.6,1.1778658565993916
1964-01-01,0.512809665148453,73.6,1.1778658565993916
1965-01-01,0.512809665148453,73.6,1.1778658565993916
1966-01-01,0.512809665148453,73.6,1.1778658565993916
1967-01-01,0.512809665148453,73.6,1.1778658565993916
1968-01-01,0.512809665148453,73.6,1.1778658565993916
1969-01-01,0.512809665148453,73.6,1.1778658565993916
1970-01-01,0.512809665148453,73.6,1.1778658565993916
1971-01-01,0.512809665148453,73.6,1.1460186293503936
1972-01-01,0.512809665148453,73.6,1.1650306038395077
1973-01-01,0.512809665148453,73.6,1.1438098711968936
1974-01-01,0.512809665148453,73.6,1.1267741386892332
1975-01-01,0.512809665148453,73.6,1.1534028098237135
1976-01-01,0.512809665148453,73.6,1.2015514969060457
1977-01-01,0.512809665148453,73.6,1.1828952669712303
1978-01-01,0.512809665148453,73.6,1.2414755502010355
1979-01-01,0.512809665148453,73.6,1.17801638441222
1980-01-01,0.512809665148453,73.6,1.1167034882858107
1981-01-01,0.512809665148453,73.6,1.0773793690855569
1982-01-01,0.512809665148453,73.6,1.0738514511105601
1983-01-01,0.512809665148453,73.6,1.1897449126170203
1984-01-01,0.512809665148453,73.6,1.1309550701744862
1985-01-01,0.512809665148453,73.6,1.0806850626608302
1986-01-01,0.512809665148453,73.6,1.0365947741946422
1987-01-01,0.512809665148453,73.6,0.992012606581133
1988-01-01,0.512809665148453,73.6,0.9493144638196308
1989-01-01,0.512809665148453,73.6,0.8812629530047985
1990-01-01,0.512809665148453,73.6,0.8429029634501958
1991-01-01,0.512809665148604,74.0,0.8359593720213152
1992-01-01,0.512809665148755,74.6,0.813094540961538
1993-01-01,0.512809665148906,75.1,0.7918345078546072
1994-01-01,0.512809665149057,75.6,0.8245071935363686
1995-01-01,0.512809665149208,74.9,0.8333308090267856
1996-01-01,0.512809665149359,74.0,0.8840839376901594
1997-01-01,0.51280966514951,72.1,0.9309616586600629
1998-01-01,0.512809665149661,73.4,0.8798755252956862
1999-01-01,0.512809665149812,61.9,0.9619692453532148
2000-01-01,0.512809665149963,63.7,0.9305325881614581
2001-01-01,0.5128096651499108,64.7,0.9173155732688747
2002-01-01,0.5128096651498586,65.3,0.935605159666661
2003-01-01,0.5128096651498064,70.3,0.836331854020137
2004-01-01,0.5128096651497541,75.4,0.8574381219698903
2005-01-01,0.5128096651497019,77.9,0.8840988181553361
2006-01-01,0.5128096651496498,74.8,0.8712986089027382
2007-01-01,0.5128096651495976,76.3,0.8575093442599098
2008-01-01,0.5128096651495454,74.2,0.8711405396162084
2009-01-01,0.5128096651494932,73.7,0.8263501036915275
2010-01-01,0.512809665149441,75.4,0.8690031801313275
2011-01-01,0.5128096651493889,79.1,0.8780262814376468
2012-01-01,0.5128096651493366,74.9,0.9707855404920886
2013-01-01,0.5128096651492844,72.2,1.0063670189047307
2014-01-01,0.5128096651492322,71.9,1.020422266612496
2015-01-01,0.51280966514918,64.5,1.033939887212175
2016-01-01,0.51280966514918,64.0,1.0465072209232955
2017-01-01,0.51280966514918,62.5,1.051042120687207
2018-01-01,0.51280966514918,60.5,1.0028774578429869
2019-01-01,0.51280966514918,61.1,1.0436204237724322
2020-01-01,0.51280966514918,61.8,1.0202366216066712
2021-01-01,0.51280966514918,58.2,1.0637274232132163
2022-01-01,0.51280966514918,58.2,1.0583549229573994
2023-01-01,0.51280966514918,58.2,1.0326752648925641
2024-01-01,0.51280966514918,58.2,1.0326752648925641
