Year,land_area_where_elevation_is_below_5_meters_of_total_land_area_,renewable_energy_consumption_of_total_final_energy_consumption_,total_greenhouse_gas_emissions_excluding_lulucf_per_capita_t_co2e_capita_
1960-01-01,1.50644501945634,9.0,1.7406428317475833
1961-01-01,1.50644501945634,9.0,1.7406428317475833
1962-01-01,1.50644501945634,9.0,1.7406428317475833
1963-01-01,1.50644501945634,9.0,1.7406428317475833
1964-01-01,1.50644501945634,9.0,1.7406428317475833
1965-01-01,1.50644501945634,9.0,1.7406428317475833
1966-01-01,1.50644501945634,9.0,1.7406428317475833
1967-01-01,1.50644501945634,9.0,1.7406428317475833
1968-01-01,1.50644501945634,9.0,1.7406428317475833
1969-01-01,1.50644501945634,9.0,1.7406428317475833
1970-01-01,1.50644501945634,9.0,1.7406428317475833
1971-01-01,1.50644501945634,9.0,1.7064423568202718
1972-01-01,1.50644501945634,9.0,1.6897193935693888
1973-01-01,1.50644501945634,9.0,1.5581837366745543
1974-01-01,1.50644501945634,9.0,1.6390820598979707
1975-01-01,1.50644501945634,9.0,1.7132794792954409
1976-01-01,1.50644501945634,9.0,1.869374513340773
1977-01-01,1.50644501945634,9.0,1.9091670517489197
1978-01-01,1.50644501945634,9.0,1.9318710606444496
1979-01-01,1.50644501945634,9.0,1.9737390931815937
1980-01-01,1.50644501945634,9.0,2.0553709017478403
1981-01-01,1.50644501945634,9.0,2.1523582490919044
1982-01-01,1.50644501945634,9.0,2.231631789880328
1983-01-01,1.50644501945634,9.0,2.324156985077052
1984-01-01,1.50644501945634,9.0,2.4334434022357434
1985-01-01,1.50644501945634,9.0,2.463929808726794
1986-01-01,1.50644501945634,9.0,2.446061341836267
1987-01-01,1.50644501945634,9.0,2.5432964501629125
1988-01-01,1.50644501945634,9.0,2.4950495745599457
1989-01-01,1.50644501945634,9.0,2.5390278600619616
1990-01-01,1.50644501945634,9.0,2.5286053380694065
1991-01-01,1.506445019455525,9.3,2.61442482538897
1992-01-01,1.5064450194547099,9.1,2.591966319164433
1993-01-01,1.506445019453895,9.2,2.5518455407007354
1994-01-01,1.5064450194530798,10.0,2.4194567152523097
1995-01-01,1.506445019452265,9.4,2.51134829009571
1996-01-01,1.50644501945145,9.0,2.602155443941915
1997-01-01,1.506445019450635,8.6,2.644673363559074
1998-01-01,1.50644501944982,8.5,2.639478203585893
1999-01-01,1.5064450194490049,8.8,2.7526534391585433
2000-01-01,1.50644501944819,8.3,2.682647648948014
2001-01-01,1.5064450194484527,7.8,2.814524974264263
2002-01-01,1.5064450194487153,7.3,2.840314155182528
2003-01-01,1.506445019448978,7.4,2.8509477821100715
2004-01-01,1.5064450194492407,7.6,2.9815415677124895
2005-01-01,1.5064450194495034,6.5,3.1570016075263383
2006-01-01,1.506445019449766,6.2,3.2431486458415444
2007-01-01,1.5064450194500287,6.0,3.343383024097247
2008-01-01,1.5064450194502912,5.9,3.315379951612063
2009-01-01,1.5064450194505539,5.7,3.339625558543842
2010-01-01,1.5064450194508165,5.4,3.2749850240041956
2011-01-01,1.5064450194510792,5.4,3.3159365084007115
2012-01-01,1.506445019451342,5.3,3.4014598018327433
2013-01-01,1.5064450194516046,5.3,3.260672556702046
2014-01-01,1.5064450194518673,5.4,3.23829240994139
2015-01-01,1.50644501945213,5.3,3.235001994330331
2016-01-01,1.50644501945213,5.1,3.2952142686119767
2017-01-01,1.50644501945213,4.9,3.3521563891286625
2018-01-01,1.50644501945213,5.0,3.239049180838525
2019-01-01,1.50644501945213,6.2,2.9435844180419135
2020-01-01,1.50644501945213,6.7,2.8062274347326364
2021-01-01,1.50644501945213,6.1,2.9949077213761925
2022-01-01,1.50644501945213,6.1,2.9599456571204046
2023-01-01,1.50644501945213,6.1,2.933301920730931
2024-01-01,1.50644501945213,6.1,2.933301920730931
