Year,land_area_where_elevation_is_below_5_meters_of_total_land_area_,renewable_energy_consumption_of_total_final_energy_consumption_,total_greenhouse_gas_emissions_excluding_lulucf_per_capita_t_co2e_capita_
1960-01-01,1.27908091533172,89.9,3.283919858651674
1961-01-01,1.27908091533172,89.9,3.283919858651674
1962-01-01,1.27908091533172,89.9,3.283919858651674
1963-01-01,1.27908091533172,89.9,3.283919858651674
1964-01-01,1.27908091533172,89.9,3.283919858651674
1965-01-01,1.27908091533172,89.9,3.283919858651674
1966-01-01,1.27908091533172,89.9,3.283919858651674
1967-01-01,1.27908091533172,89.9,3.283919858651674
1968-01-01,1.27908091533172,89.9,3.283919858651674
1969-01-01,1.27908091533172,89.9,3.283919858651674
1970-01-01,1.27908091533172,89.9,3.283919858651674
1971-01-01,1.27908091533172,89.9,3.224140660139763
1972-01-01,1.27908091533172,89.9,3.1048665823935355
1973-01-01,1.27908091533172,89.9,3.060098952161702
1974-01-01,1.27908091533172,89.9,2.961063845872029
1975-01-01,1.27908091533172,89.9,2.827987303030088
1976-01-01,1.27908091533172,89.9,2.759371578057178
1977-01-01,1.27908091533172,89.9,2.6789381915801327
1978-01-01,1.27908091533172,89.9,2.6469116080237627
1979-01-01,1.27908091533172,89.9,2.624522494262255
1980-01-01,1.27908091533172,89.9,2.587500163470227
1981-01-01,1.27908091533172,89.9,2.5565187561479545
1982-01-01,1.27908091533172,89.9,2.4927143708997144
1983-01-01,1.27908091533172,89.9,2.5006335821583265
1984-01-01,1.27908091533172,89.9,2.396697013653322
1985-01-01,1.27908091533172,89.9,2.407269323869243
1986-01-01,1.27908091533172,89.9,2.4077534571452732
1987-01-01,1.27908091533172,89.9,2.3298418092317923
1988-01-01,1.27908091533172,89.9,2.3047535025061205
1989-01-01,1.27908091533172,89.9,2.3163868250749737
1990-01-01,1.27908091533172,89.9,2.2998548262761
1991-01-01,1.279080915331843,89.9,2.487014025529662
1992-01-01,1.279080915331966,89.9,2.7992803883590143
1993-01-01,1.279080915332089,83.6,2.291695177709555
1994-01-01,1.279080915332212,80.1,2.3324442308043984
1995-01-01,1.279080915332335,77.9,2.2650346843156974
1996-01-01,1.279080915332458,76.4,2.3807778755008306
1997-01-01,1.279080915332581,77.6,2.537154964721079
1998-01-01,1.279080915332704,75.0,2.3883941572697727
1999-01-01,1.279080915332827,76.1,2.4111298909064613
2000-01-01,1.27908091533295,76.8,2.4164330621161882
2001-01-01,1.2790809153327594,74.8,2.312247981145973
2002-01-01,1.2790809153325688,74.7,2.2153985536014122
2003-01-01,1.279080915332378,75.0,2.173139853474654
2004-01-01,1.2790809153321874,69.8,2.113394840594793
2005-01-01,1.2790809153319966,74.7,2.0517320096271816
2006-01-01,1.2790809153318061,77.3,1.9648959016860357
2007-01-01,1.2790809153316154,79.1,2.015403784309108
2008-01-01,1.2790809153314247,81.4,1.9440569223673247
2009-01-01,1.279080915331234,81.7,1.91787415357606
2010-01-01,1.2790809153310434,80.9,1.8785231221389753
2011-01-01,1.2790809153308527,77.1,1.9395794876412589
2012-01-01,1.279080915330662,78.4,1.9385983744420459
2013-01-01,1.2790809153304712,79.7,1.9245956882082775
2014-01-01,1.2790809153302807,80.5,1.9291328788406978
2015-01-01,1.27908091533009,81.2,1.9334120312498995
2016-01-01,1.27908091533009,81.4,1.949628412089744
2017-01-01,1.27908091533009,81.6,1.9343583421127897
2018-01-01,1.27908091533009,80.8,1.9446497701048622
2019-01-01,1.27908091533009,80.6,1.9339582753378348
2020-01-01,1.27908091533009,80.9,1.9130299510432291
2021-01-01,1.27908091533009,80.7,1.9049108660631373
2022-01-01,1.27908091533009,80.7,1.8680448764858346
2023-01-01,1.27908091533009,80.7,1.8446918069727032
2024-01-01,1.27908091533009,80.7,1.8446918069727032
