Year,land_area_where_elevation_is_below_5_meters_of_total_land_area_,renewable_energy_consumption_of_total_final_energy_consumption_,total_greenhouse_gas_emissions_excluding_lulucf_per_capita_t_co2e_capita_
1960-01-01,0.0,62.2,4.150348128807659
1961-01-01,0.0,62.2,4.150348128807659
1962-01-01,0.0,62.2,4.150348128807659
1963-01-01,0.0,62.2,4.150348128807659
1964-01-01,0.0,62.2,4.150348128807659
1965-01-01,0.0,62.2,4.150348128807659
1966-01-01,0.0,62.2,4.150348128807659
1967-01-01,0.0,62.2,4.150348128807659
1968-01-01,0.0,62.2,4.150348128807659
1969-01-01,0.0,62.2,4.150348128807659
1970-01-01,0.0,62.2,4.150348128807659
1971-01-01,0.0,62.2,4.072526992407041
1972-01-01,0.0,62.2,4.108736163233059
1973-01-01,0.0,62.2,4.119923680376087
1974-01-01,0.0,62.2,4.071295853043076
1975-01-01,0.0,62.2,4.098504352210971
1976-01-01,0.0,62.2,4.111172682628552
1977-01-01,0.0,62.2,3.9198812617054193
1978-01-01,0.0,62.2,4.529175605161465
1979-01-01,0.0,62.2,4.474539976680486
1980-01-01,0.0,62.2,4.44519680077232
1981-01-01,0.0,62.2,4.240055252201658
1982-01-01,0.0,62.2,4.05315124864346
1983-01-01,0.0,62.2,3.700393197128189
1984-01-01,0.0,62.2,3.5935092386266994
1985-01-01,0.0,62.2,3.6702275289013246
1986-01-01,0.0,62.2,3.6677319076887898
1987-01-01,0.0,62.2,3.52495578094581
1988-01-01,0.0,62.2,3.414487158007397
1989-01-01,0.0,62.2,3.370016710432084
1990-01-01,0.0,62.2,3.6899320058503395
1991-01-01,0.0,61.8,3.6269983450581322
1992-01-01,0.0,63.2,3.3334181315559626
1993-01-01,0.0,62.2,2.868576511502927
1994-01-01,0.0,55.3,3.6471954629885133
1995-01-01,0.0,54.6,3.6240523560101523
1996-01-01,0.0,63.0,3.334778009801574
1997-01-01,0.0,55.0,3.3470920442861614
1998-01-01,0.0,56.8,3.253459755426601
1999-01-01,0.0,56.0,3.426815757357036
2000-01-01,0.0,60.1,3.1248859723414513
2001-01-01,0.0,60.9,2.9638537710358266
2002-01-01,0.0,63.6,2.9644878761535565
2003-01-01,0.0,66.5,2.98125058591919
2004-01-01,0.0,66.6,2.993964547657896
2005-01-01,0.0,67.0,2.951747045009277
2006-01-01,0.0,66.8,2.8665592068134957
2007-01-01,0.0,66.9,2.9198545894627785
2008-01-01,0.0,67.8,2.839837499806482
2009-01-01,0.0,66.7,2.7888446215139444
2010-01-01,0.0,68.5,2.5057347186614494
2011-01-01,0.0,69.3,2.3798724854249245
2012-01-01,0.0,68.8,2.37831479459685
2013-01-01,0.0,66.1,2.5512615155886333
2014-01-01,0.0,68.3,2.545808805604863
2015-01-01,0.0,68.8,2.5646365590870945
2016-01-01,0.0,64.3,2.617904893141147
2017-01-01,0.0,65.3,2.5499160331377704
2018-01-01,0.0,65.7,2.531633657818396
2019-01-01,0.0,64.4,2.577732876561395
2020-01-01,0.0,63.7,2.5375420569131797
2021-01-01,0.0,65.4,2.5983906752318306
2022-01-01,0.0,64.7,2.661542992673004
2023-01-01,0.0,64.7,2.67337176738675
2024-01-01,0.0,64.7,2.67337176738675
