Year,land_area_where_elevation_is_below_5_meters_of_total_land_area_,renewable_energy_consumption_of_total_final_energy_consumption_,total_greenhouse_gas_emissions_excluding_lulucf_per_capita_t_co2e_capita_
1960-01-01,0.0,96.2,1.8964841442390865
1961-01-01,0.0,96.2,1.8964841442390865
1962-01-01,0.0,96.2,1.8964841442390865
1963-01-01,0.0,96.2,1.8964841442390865
1964-01-01,0.0,96.2,1.8964841442390865
1965-01-01,0.0,96.2,1.8964841442390865
1966-01-01,0.0,96.2,1.8964841442390865
1967-01-01,0.0,96.2,1.8964841442390865
1968-01-01,0.0,96.2,1.8964841442390865
1969-01-01,0.0,96.2,1.8964841442390865
1970-01-01,0.0,96.2,1.8964841442390865
1971-01-01,0.0,96.2,1.8578847225251545
1972-01-01,0.0,96.2,1.7891472798547645
1973-01-01,0.0,96.2,1.7594151978740855
1974-01-01,0.0,96.2,1.7105899476352455
1975-01-01,0.0,96.2,1.6197141453215451
1976-01-01,0.0,96.2,1.573004932806851
1977-01-01,0.0,96.2,1.5616237597110791
1978-01-01,0.0,96.2,1.551698031504279
1979-01-01,0.0,96.2,1.5435596004188483
1980-01-01,0.0,96.2,1.5347569168974298
1981-01-01,0.0,96.2,1.5081798635237262
1982-01-01,0.0,96.2,1.4664334686873404
1983-01-01,0.0,96.2,1.4698462940004717
1984-01-01,0.0,96.2,1.3921516681682093
1985-01-01,0.0,96.2,1.4131119877709368
1986-01-01,0.0,96.2,1.4530118386878625
1987-01-01,0.0,96.2,1.3503520333554098
1988-01-01,0.0,96.2,1.316460111447521
1989-01-01,0.0,96.2,1.331848580493896
1990-01-01,0.0,96.2,1.3201139136296751
1991-01-01,0.0,96.3,1.2780507059146817
1992-01-01,0.0,97.5,1.258447147512792
1993-01-01,0.0,96.9,1.1204197085357803
1994-01-01,0.0,96.5,1.1257148430501112
1995-01-01,0.0,96.2,1.1051050591759246
1996-01-01,0.0,95.9,1.1240214950535699
1997-01-01,0.0,95.8,1.1265030423890976
1998-01-01,0.0,95.7,1.167638655956067
1999-01-01,0.0,95.8,1.1303249898687655
2000-01-01,0.0,95.5,1.0652041030272967
2001-01-01,0.0,94.6,1.1100084069479748
2002-01-01,0.0,94.5,1.1840118359165328
2003-01-01,0.0,94.2,1.137026575893653
2004-01-01,0.0,94.1,1.1346447186822293
2005-01-01,0.0,94.7,1.142901512579135
2006-01-01,0.0,94.5,1.181284725109162
2007-01-01,0.0,94.1,1.2588598104451239
2008-01-01,0.0,94.1,1.2820984014854262
2009-01-01,0.0,94.2,1.2980623635885413
2010-01-01,0.0,94.1,1.3211261673678452
2011-01-01,0.0,93.6,1.2798136166871552
2012-01-01,0.0,93.3,1.2961450746020562
2013-01-01,0.0,92.4,1.3114500000106664
2014-01-01,0.0,91.4,1.3343429367631763
2015-01-01,0.0,91.5,1.3398482590282288
2016-01-01,0.0,90.4,1.3630960023468168
2017-01-01,0.0,90.8,1.3565430261229956
2018-01-01,0.0,90.0,1.36058362202025
2019-01-01,0.0,89.3,1.4216573395304783
2020-01-01,0.0,90.7,1.4294999100680335
2021-01-01,0.0,90.6,1.3495546550775583
2022-01-01,0.0,90.6,1.3305726258984907
2023-01-01,0.0,90.6,1.3212500151136406
2024-01-01,0.0,90.6,1.3212500151136406
