Year,land_area_where_elevation_is_below_5_meters_of_total_land_area_,renewable_energy_consumption_of_total_final_energy_consumption_,total_greenhouse_gas_emissions_excluding_lulucf_per_capita_t_co2e_capita_
1960-01-01,1.43045361296156,78.3,11.427281545902801
1961-01-01,1.43045361296156,78.3,11.427281545902801
1962-01-01,1.43045361296156,78.3,11.427281545902801
1963-01-01,1.43045361296156,78.3,11.427281545902801
1964-01-01,1.43045361296156,78.3,11.427281545902801
1965-01-01,1.43045361296156,78.3,11.427281545902801
1966-01-01,1.43045361296156,78.3,11.427281545902801
1967-01-01,1.43045361296156,78.3,11.427281545902801
1968-01-01,1.43045361296156,78.3,11.427281545902801
1969-01-01,1.43045361296156,78.3,11.427281545902801
1970-01-01,1.43045361296156,78.3,11.427281545902801
1971-01-01,1.43045361296156,78.3,12.047545155075714
1972-01-01,1.43045361296156,78.3,12.719498840505024
1973-01-01,1.43045361296156,78.3,18.695257849036665
1974-01-01,1.43045361296156,78.3,22.431066666049087
1975-01-01,1.43045361296156,78.3,25.27420087979861
1976-01-01,1.43045361296156,78.3,25.974723594656652
1977-01-01,1.43045361296156,78.3,25.04034675151012
1978-01-01,1.43045361296156,78.3,24.395812975838144
1979-01-01,1.43045361296156,78.3,22.557669237360756
1980-01-01,1.43045361296156,78.3,20.532771058901186
1981-01-01,1.43045361296156,78.3,18.870227815483123
1982-01-01,1.43045361296156,78.3,18.832337074267123
1983-01-01,1.43045361296156,78.3,17.763515638004698
1984-01-01,1.43045361296156,78.3,18.929191446680928
1985-01-01,1.43045361296156,78.3,19.9203712738962
1986-01-01,1.43045361296156,78.3,16.558552523262613
1987-01-01,1.43045361296156,78.3,15.001452270013994
1988-01-01,1.43045361296156,78.3,15.24038151704582
1989-01-01,1.43045361296156,78.3,18.09530078212337
1990-01-01,1.43045361296156,78.3,20.73487345156313
1991-01-01,1.430453612962064,75.2,19.365701837521687
1992-01-01,1.430453612962568,74.8,20.09177757660972
1993-01-01,1.4304536129630718,73.8,20.16429030246482
1994-01-01,1.4304536129635759,72.9,19.246017246419175
1995-01-01,1.43045361296408,72.0,20.971356278817996
1996-01-01,1.430453612964584,71.5,23.03659240548083
1997-01-01,1.430453612965088,70.0,20.746479505078128
1998-01-01,1.4304536129655918,69.7,23.51395023338417
1999-01-01,1.4304536129660959,71.3,21.821682102241645
2000-01-01,1.4304536129666,72.8,21.874265035607557
2001-01-01,1.430453612966596,72.4,21.3699107124449
2002-01-01,1.430453612966592,79.8,20.11887282689098
2003-01-01,1.430453612966588,83.6,21.816182587622524
2004-01-01,1.430453612966584,85.8,19.623679928869333
2005-01-01,1.43045361296658,85.2,17.9326885298549
2006-01-01,1.430453612966576,86.2,14.984781252465464
2007-01-01,1.430453612966572,87.3,12.548024497554035
2008-01-01,1.430453612966568,87.3,13.081089489321323
2009-01-01,1.430453612966564,87.9,12.293536901554928
2010-01-01,1.43045361296656,85.8,12.191613479785497
2011-01-01,1.430453612966556,79.7,11.596955080991142
2012-01-01,1.430453612966552,75.5,11.129255737621481
2013-01-01,1.430453612966548,82.2,10.623404714648112
2014-01-01,1.430453612966544,81.3,10.362722585282341
2015-01-01,1.43045361296654,81.9,10.46669041332413
2016-01-01,1.43045361296654,81.5,10.164614108610841
2017-01-01,1.43045361296654,90.2,9.057397190412168
2018-01-01,1.43045361296654,90.3,8.180740743419346
2019-01-01,1.43045361296654,90.2,8.793732520882338
2020-01-01,1.43045361296654,91.3,8.507844217040057
2021-01-01,1.43045361296654,91.3,7.921793125153046
2022-01-01,1.43045361296654,91.3,8.127501545821099
2023-01-01,1.43045361296654,91.3,8.613246436618965
2024-01-01,1.43045361296654,91.3,8.613246436618965
