Year,land_area_where_elevation_is_below_5_meters_of_total_land_area_,renewable_energy_consumption_of_total_final_energy_consumption_,total_greenhouse_gas_emissions_excluding_lulucf_per_capita_t_co2e_capita_
1960-01-01,0.727868498974729,80.6,0.7854074469182808
1961-01-01,0.727868498974729,80.6,0.7854074469182808
1962-01-01,0.727868498974729,80.6,0.7854074469182808
1963-01-01,0.727868498974729,80.6,0.7854074469182808
1964-01-01,0.727868498974729,80.6,0.7854074469182808
1965-01-01,0.727868498974729,80.6,0.7854074469182808
1966-01-01,0.727868498974729,80.6,0.7854074469182808
1967-01-01,0.727868498974729,80.6,0.7854074469182808
1968-01-01,0.727868498974729,80.6,0.7854074469182808
1969-01-01,0.727868498974729,80.6,0.7854074469182808
1970-01-01,0.727868498974729,80.6,0.7854074469182808
1971-01-01,0.727868498974729,80.6,0.7748360334881386
1972-01-01,0.727868498974729,80.6,0.7992001006125434
1973-01-01,0.727868498974729,80.6,0.789274554004548
1974-01-01,0.727868498974729,80.6,0.8244668803821561
1975-01-01,0.727868498974729,80.6,0.8154312072263623
1976-01-01,0.727868498974729,80.6,0.8025077695305285
1977-01-01,0.727868498974729,80.6,0.8134810244732549
1978-01-01,0.727868498974729,80.6,0.7682658499615502
1979-01-01,0.727868498974729,80.6,0.7458402872058948
1980-01-01,0.727868498974729,80.6,0.727415971664408
1981-01-01,0.727868498974729,80.6,0.7605454353595004
1982-01-01,0.727868498974729,80.6,0.7162709304838989
1983-01-01,0.727868498974729,80.6,0.5718107273184405
1984-01-01,0.727868498974729,80.6,0.5986123275038723
1985-01-01,0.727868498974729,80.6,0.6297822838633332
1986-01-01,0.727868498974729,80.6,0.6644293461390539
1987-01-01,0.727868498974729,80.6,0.6772011241009586
1988-01-01,0.727868498974729,80.6,0.6691459363971116
1989-01-01,0.727868498974729,80.6,0.7046932616538902
1990-01-01,0.727868498974729,80.6,0.674442182763776
1991-01-01,0.7278684989746916,82.9,0.675654961369428
1992-01-01,0.7278684989746542,81.0,0.6898548056192039
1993-01-01,0.7278684989746168,81.3,0.6898030015216233
1994-01-01,0.7278684989745794,80.6,0.696320114116302
1995-01-01,0.7278684989745421,79.8,0.7028155671093373
1996-01-01,0.7278684989745047,78.8,0.7226877705510124
1997-01-01,0.7278684989744673,78.3,0.726105076836078
1998-01-01,0.7278684989744298,73.6,0.8013415641964731
1999-01-01,0.7278684989743924,72.8,0.8245698246212088
2000-01-01,0.727868498974355,71.6,0.7776000585015486
2001-01-01,0.7278684989741302,69.3,0.7878586620594198
2002-01-01,0.7278684989739053,65.7,0.831466901000647
2003-01-01,0.7278684989736804,64.5,0.7940618043965019
2004-01-01,0.7278684989734555,62.4,0.7691865183106613
2005-01-01,0.7278684989732307,61.4,0.7774314884853688
2006-01-01,0.7278684989730059,58.6,0.8423831878039132
2007-01-01,0.7278684989727809,54.5,0.8432520401269269
2008-01-01,0.7278684989725561,57.3,0.8876926983672458
2009-01-01,0.7278684989723312,51.9,0.908977412879006
2010-01-01,0.7278684989721064,51.9,0.9361925291840095
2011-01-01,0.7278684989718816,50.1,1.0335048496483321
2012-01-01,0.7278684989716566,46.5,1.1149959295687466
2013-01-01,0.7278684989714318,46.2,1.1647584605863253
2014-01-01,0.7278684989712069,47.7,1.1436618862438337
2015-01-01,0.727868498970982,44.0,1.1607409070817647
2016-01-01,0.727868498970982,45.2,1.1531388598911965
2017-01-01,0.727868498970982,45.3,1.2341529961956594
2018-01-01,0.727868498970982,42.1,1.2943644219999715
2019-01-01,0.727868498970982,42.6,1.3664504672182634
2020-01-01,0.727868498970982,40.0,1.4223241239308728
2021-01-01,0.727868498970982,39.0,1.4450254953578197
2022-01-01,0.727868498970982,39.0,1.4541819953644666
2023-01-01,0.727868498970982,39.0,1.428496000078608
2024-01-01,0.727868498970982,39.0,1.428496000078608
