Year,land_area_where_elevation_is_below_5_meters_of_total_land_area_,renewable_energy_consumption_of_total_final_energy_consumption_,total_greenhouse_gas_emissions_excluding_lulucf_per_capita_t_co2e_capita_
1960-01-01,1.37785424468039,89.5,1.170604097920882
1961-01-01,1.37785424468039,89.5,1.170604097920882
1962-01-01,1.37785424468039,89.5,1.170604097920882
1963-01-01,1.37785424468039,89.5,1.170604097920882
1964-01-01,1.37785424468039,89.5,1.170604097920882
1965-01-01,1.37785424468039,89.5,1.170604097920882
1966-01-01,1.37785424468039,89.5,1.170604097920882
1967-01-01,1.37785424468039,89.5,1.170604097920882
1968-01-01,1.37785424468039,89.5,1.170604097920882
1969-01-01,1.37785424468039,89.5,1.170604097920882
1970-01-01,1.37785424468039,89.5,1.170604097920882
1971-01-01,1.37785424468039,89.5,1.15728324761205
1972-01-01,1.37785424468039,89.5,1.1550581636236115
1973-01-01,1.37785424468039,89.5,1.1669156500952882
1974-01-01,1.37785424468039,89.5,1.1760699136122394
1975-01-01,1.37785424468039,89.5,1.1908353381138648
1976-01-01,1.37785424468039,89.5,1.1886341971753038
1977-01-01,1.37785424468039,89.5,1.1857630123587624
1978-01-01,1.37785424468039,89.5,1.1793915931063128
1979-01-01,1.37785424468039,89.5,1.1887403884795442
1980-01-01,1.37785424468039,89.5,1.175888112320376
1981-01-01,1.37785424468039,89.5,1.1621359721641098
1982-01-01,1.37785424468039,89.5,1.1948536417672446
1983-01-01,1.37785424468039,89.5,1.2002468742385461
1984-01-01,1.37785424468039,89.5,1.1730998873012444
1985-01-01,1.37785424468039,89.5,1.1172162706472457
1986-01-01,1.37785424468039,89.5,1.044400407048364
1987-01-01,1.37785424468039,89.5,1.1308773027617038
1988-01-01,1.37785424468039,89.5,1.138713074421282
1989-01-01,1.37785424468039,89.5,1.1483296387229278
1990-01-01,1.37785424468039,89.5,1.2121769732378005
1991-01-01,1.377854244680422,89.6,1.211004774258246
1992-01-01,1.377854244680454,86.6,1.1135655821517114
1993-01-01,1.377854244680486,86.2,1.125617391375102
1994-01-01,1.377854244680518,86.0,1.154047177256914
1995-01-01,1.3778542446805502,90.0,1.1571047108337087
1996-01-01,1.3778542446805822,88.8,1.252787149607434
1997-01-01,1.3778542446806141,85.2,1.1451867710118175
1998-01-01,1.377854244680646,84.3,1.169575809918102
1999-01-01,1.377854244680678,86.3,1.2794969899419526
2000-01-01,1.37785424468071,85.5,1.3443855566227918
2001-01-01,1.3778542446805693,84.8,1.3468447159003087
2002-01-01,1.3778542446804287,84.3,1.3783616587653356
2003-01-01,1.377854244680288,83.5,1.407147803558672
2004-01-01,1.3778542446801474,83.2,1.4293822851976328
2005-01-01,1.3778542446800066,81.6,1.4558649269877362
2006-01-01,1.377854244679866,81.1,1.4874849740567138
2007-01-01,1.3778542446797253,80.4,1.5035994088766411
2008-01-01,1.3778542446795847,80.2,1.5328113208881418
2009-01-01,1.377854244679444,79.2,1.5642575851769216
2010-01-01,1.3778542446793034,75.7,1.7795447248127805
2011-01-01,1.3778542446791626,74.8,1.8224590660807505
2012-01-01,1.377854244679022,76.4,1.8315846396231459
2013-01-01,1.3778542446788813,78.5,1.8228584259310305
2014-01-01,1.3778542446787407,78.6,1.842241785964938
2015-01-01,1.3778542446786,76.2,1.8924762069062222
2016-01-01,1.3778542446786,75.3,1.9290600619728437
2017-01-01,1.3778542446786,72.0,1.954639636050048
2018-01-01,1.3778542446786,73.2,1.9714006719049075
2019-01-01,1.3778542446786,68.3,1.973156152215079
2020-01-01,1.3778542446786,65.8,1.9693695015616794
2021-01-01,1.3778542446786,66.8,1.968657190288941
2022-01-01,1.3778542446786,66.6,1.989379399147799
2023-01-01,1.3778542446786,66.6,1.987766034397494
2024-01-01,1.3778542446786,66.6,1.987766034397494
