Year,land_area_where_elevation_is_below_5_meters_of_total_land_area_,renewable_energy_consumption_of_total_final_energy_consumption_,total_greenhouse_gas_emissions_excluding_lulucf_per_capita_t_co2e_capita_
1960-01-01,0.0,52.0,1.8696659285588846
1961-01-01,0.0,52.0,1.8696659285588846
1962-01-01,0.0,52.0,1.8696659285588846
1963-01-01,0.0,52.0,1.8696659285588846
1964-01-01,0.0,52.0,1.8696659285588846
1965-01-01,0.0,52.0,1.8696659285588846
1966-01-01,0.0,52.0,1.8696659285588846
1967-01-01,0.0,52.0,1.8696659285588846
1968-01-01,0.0,52.0,1.8696659285588846
1969-01-01,0.0,52.0,1.8696659285588846
1970-01-01,0.0,52.0,1.8696659285588846
1971-01-01,0.0,52.0,1.7139946565478117
1972-01-01,0.0,52.0,1.615080667201066
1973-01-01,0.0,52.0,1.540394297857238
1974-01-01,0.0,52.0,1.5381006806434554
1975-01-01,0.0,52.0,1.52845606162603
1976-01-01,0.0,52.0,1.4619211084459638
1977-01-01,0.0,52.0,1.3139871019956326
1978-01-01,0.0,52.0,1.2929839365902174
1979-01-01,0.0,52.0,1.3139662808920418
1980-01-01,0.0,52.0,1.3529126120406307
1981-01-01,0.0,52.0,1.3227960822308882
1982-01-01,0.0,52.0,1.303789011036189
1983-01-01,0.0,52.0,1.245753261996607
1984-01-01,0.0,52.0,1.1969707141165278
1985-01-01,0.0,52.0,1.213078967408468
1986-01-01,0.0,52.0,1.199720551358891
1987-01-01,0.0,52.0,1.3469610600038746
1988-01-01,0.0,52.0,1.2745417541028174
1989-01-01,0.0,52.0,1.2115333923610876
1990-01-01,0.0,52.0,1.1716332466889465
1991-01-01,0.0,52.0,1.1735370409671408
1992-01-01,0.0,51.4,1.2408222182126052
1993-01-01,0.0,51.0,1.2019709821205566
1994-01-01,0.0,50.8,1.157904183571466
1995-01-01,0.0,50.8,1.1197389410982779
1996-01-01,0.0,50.8,1.0670152067158178
1997-01-01,0.0,50.6,1.0988718041576757
1998-01-01,0.0,50.6,0.9692955478068858
1999-01-01,0.0,56.9,1.2574666763842866
2000-01-01,0.0,56.7,1.327802155083579
2001-01-01,0.0,56.5,1.3346307799723418
2002-01-01,0.0,56.2,1.271081712897163
2003-01-01,0.0,55.9,1.29487335137142
2004-01-01,0.0,55.4,1.3020456804196985
2005-01-01,0.0,55.3,1.3989214961424954
2006-01-01,0.0,55.5,1.384068279536447
2007-01-01,0.0,55.3,1.4450653980918133
2008-01-01,0.0,55.0,1.366155091605006
2009-01-01,0.0,54.0,1.4066959027867878
2010-01-01,0.0,53.0,1.3936624202066772
2011-01-01,0.0,42.3,1.39656774125637
2012-01-01,0.0,40.8,1.4114062744242153
2013-01-01,0.0,46.1,1.3423265892018688
2014-01-01,0.0,43.2,1.3234049120013616
2015-01-01,0.0,46.0,1.2824697770751934
2016-01-01,0.0,45.1,1.277446440188845
2017-01-01,0.0,41.5,1.3501397703408726
2018-01-01,0.0,42.5,1.256821867344934
2019-01-01,0.0,41.6,1.198241155424198
2020-01-01,0.0,43.2,1.0863580392418215
2021-01-01,0.0,33.6,1.1173349864826743
2022-01-01,0.0,34.9,1.160355363477698
2023-01-01,0.0,34.9,1.125646341379
2024-01-01,0.0,34.9,1.125646341379
