Year,land_area_where_elevation_is_below_5_meters_of_total_land_area_,renewable_energy_consumption_of_total_final_energy_consumption_,total_greenhouse_gas_emissions_excluding_lulucf_per_capita_t_co2e_capita_
1960-01-01,1.10372857408925,89.1,1.0693568313656188
1961-01-01,1.10372857408925,89.1,1.0693568313656188
1962-01-01,1.10372857408925,89.1,1.0693568313656188
1963-01-01,1.10372857408925,89.1,1.0693568313656188
1964-01-01,1.10372857408925,89.1,1.0693568313656188
1965-01-01,1.10372857408925,89.1,1.0693568313656188
1966-01-01,1.10372857408925,89.1,1.0693568313656188
1967-01-01,1.10372857408925,89.1,1.0693568313656188
1968-01-01,1.10372857408925,89.1,1.0693568313656188
1969-01-01,1.10372857408925,89.1,1.0693568313656188
1970-01-01,1.10372857408925,89.1,1.0693568313656188
1971-01-01,1.10372857408925,89.1,1.054068375488755
1972-01-01,1.10372857408925,89.1,1.042737591318947
1973-01-01,1.10372857408925,89.1,1.049641699735032
1974-01-01,1.10372857408925,89.1,1.0604650133242168
1975-01-01,1.10372857408925,89.1,1.0545731585067564
1976-01-01,1.10372857408925,89.1,1.0559328153937544
1977-01-01,1.10372857408925,89.1,1.118334513954833
1978-01-01,1.10372857408925,89.1,1.105570365302404
1979-01-01,1.10372857408925,89.1,1.2072859001886567
1980-01-01,1.10372857408925,89.1,1.1530369526443656
1981-01-01,1.10372857408925,89.1,1.0294096182582932
1982-01-01,1.10372857408925,89.1,0.9763954636338164
1983-01-01,1.10372857408925,89.1,0.9913564198977465
1984-01-01,1.10372857408925,89.1,0.9112359385122799
1985-01-01,1.10372857408925,89.1,0.8911694909126777
1986-01-01,1.10372857408925,89.1,0.8050210720243481
1987-01-01,1.10372857408925,89.1,0.8039191848997299
1988-01-01,1.10372857408925,89.1,0.8940959344749221
1989-01-01,1.10372857408925,89.1,0.7698607308275526
1990-01-01,1.10372857408925,89.1,0.7693598007255583
1991-01-01,1.103728574089307,90.1,0.7771970408654558
1992-01-01,1.1037285740893639,89.0,0.6770694358060296
1993-01-01,1.103728574089421,87.7,0.6131428046434408
1994-01-01,1.103728574089478,87.1,0.5993223959127933
1995-01-01,1.1037285740895348,87.0,0.605671683350529
1996-01-01,1.103728574089592,87.5,0.6283684594602222
1997-01-01,1.103728574089649,88.1,0.6236248901258978
1998-01-01,1.103728574089706,88.5,0.6228549685332966
1999-01-01,1.1037285740897629,90.5,0.6533686975579122
2000-01-01,1.10372857408982,91.3,0.7124715303384394
2001-01-01,1.1037285740898013,91.6,0.7069522554353773
2002-01-01,1.1037285740897826,91.1,0.7065441119923794
2003-01-01,1.103728574089764,90.3,0.7274488609188814
2004-01-01,1.1037285740897453,89.6,0.7527656948669768
2005-01-01,1.1037285740897267,87.8,0.7883938727936711
2006-01-01,1.103728574089708,87.6,0.8228803418827904
2007-01-01,1.1037285740896894,89.8,0.7514751774982625
2008-01-01,1.1037285740896705,91.8,0.7191305528940961
2009-01-01,1.1037285740896519,91.8,0.7338015352668051
2010-01-01,1.1037285740896332,88.6,0.7837118029806178
2011-01-01,1.1037285740896146,87.1,0.7875763590163694
2012-01-01,1.103728574089596,86.2,0.7919428187648738
2013-01-01,1.1037285740895773,87.5,0.7657308703181194
2014-01-01,1.1037285740895586,91.2,0.8249689491888448
2015-01-01,1.10372857408954,91.9,0.8301228197176865
2016-01-01,1.10372857408954,92.8,0.8427103327271719
2017-01-01,1.10372857408954,93.6,0.7873703965311899
2018-01-01,1.10372857408954,94.4,0.8120369055838483
2019-01-01,1.10372857408954,89.7,0.8358709770028915
2020-01-01,1.10372857408954,93.0,0.845874608672788
2021-01-01,1.10372857408954,93.2,0.8394996846552303
2022-01-01,1.10372857408954,92.8,0.8494417018685373
2023-01-01,1.10372857408954,92.8,0.825118227077182
2024-01-01,1.10372857408954,92.8,0.825118227077182
