Year,land_area_where_elevation_is_below_5_meters_of_total_land_area_,renewable_energy_consumption_of_total_final_energy_consumption_,total_greenhouse_gas_emissions_excluding_lulucf_per_capita_t_co2e_capita_
1960-01-01,1.25938945719897,87.2,3.035969857927222
1961-01-01,1.25938945719897,87.2,3.035969857927222
1962-01-01,1.25938945719897,87.2,3.035969857927222
1963-01-01,1.25938945719897,87.2,3.035969857927222
1964-01-01,1.25938945719897,87.2,3.035969857927222
1965-01-01,1.25938945719897,87.2,3.035969857927222
1966-01-01,1.25938945719897,87.2,3.035969857927222
1967-01-01,1.25938945719897,87.2,3.035969857927222
1968-01-01,1.25938945719897,87.2,3.035969857927222
1969-01-01,1.25938945719897,87.2,3.035969857927222
1970-01-01,1.25938945719897,87.2,3.035969857927222
1971-01-01,1.25938945719897,87.2,2.80546954752952
1972-01-01,1.25938945719897,87.2,2.7839824674834523
1973-01-01,1.25938945719897,87.2,2.7582694296195633
1974-01-01,1.25938945719897,87.2,2.7194600708467926
1975-01-01,1.25938945719897,87.2,2.6776069678328995
1976-01-01,1.25938945719897,87.2,2.5921572113035865
1977-01-01,1.25938945719897,87.2,2.6185808246901088
1978-01-01,1.25938945719897,87.2,2.6840213575866723
1979-01-01,1.25938945719897,87.2,2.614751153665986
1980-01-01,1.25938945719897,87.2,2.6162798444420363
1981-01-01,1.25938945719897,87.2,2.531983203813424
1982-01-01,1.25938945719897,87.2,2.475142741364502
1983-01-01,1.25938945719897,87.2,2.401970366077811
1984-01-01,1.25938945719897,87.2,2.3575097068937443
1985-01-01,1.25938945719897,87.2,2.2607475293636377
1986-01-01,1.25938945719897,87.2,2.2010538093224117
1987-01-01,1.25938945719897,87.2,2.1178947852464463
1988-01-01,1.25938945719897,87.2,2.0704497715019405
1989-01-01,1.25938945719897,87.2,2.0068093988567957
1990-01-01,1.25938945719897,87.2,1.9842415652957093
1991-01-01,1.259389457198968,86.6,1.928009472675087
1992-01-01,1.2593894571989661,86.7,1.8944806095210718
1993-01-01,1.2593894571989641,87.0,1.8751044244126376
1994-01-01,1.2593894571989621,86.0,1.7887151687435956
1995-01-01,1.2593894571989601,86.1,1.767255996341969
1996-01-01,1.259389457198958,85.5,1.7137892140502282
1997-01-01,1.259389457198956,83.1,1.6740451852714604
1998-01-01,1.259389457198954,82.7,1.648705524642587
1999-01-01,1.259389457198952,82.7,1.6046617525720748
2000-01-01,1.25938945719895,82.2,1.5650503156329205
2001-01-01,1.2593894571989572,84.1,1.402359275753879
2002-01-01,1.2593894571989646,87.2,1.2596187798765726
2003-01-01,1.2593894571989719,84.8,1.2789279948808794
2004-01-01,1.2593894571989792,84.3,1.2721340719383136
2005-01-01,1.2593894571989865,84.9,1.3616805309183486
2006-01-01,1.2593894571989939,85.9,1.3362334193523473
2007-01-01,1.2593894571990012,86.2,1.3256288590597092
2008-01-01,1.2593894571990087,86.4,1.310313976784376
2009-01-01,1.259389457199016,87.2,1.286728533717481
2010-01-01,1.2593894571990234,86.7,1.275732148540301
2011-01-01,1.2593894571990307,84.5,1.2459787138018519
2012-01-01,1.259389457199038,83.3,1.2660747361378217
2013-01-01,1.2593894571990454,81.4,1.2079907786583512
2014-01-01,1.2593894571990527,82.2,1.2378924734864816
2015-01-01,1.25938945719906,83.9,1.2201346442806464
2016-01-01,1.25938945719906,83.8,1.1910596617189182
2017-01-01,1.25938945719906,81.9,1.1794967033274697
2018-01-01,1.25938945719906,84.2,1.1026252625666277
2019-01-01,1.25938945719906,82.5,1.143621901324167
2020-01-01,1.25938945719906,84.7,1.0958515769185657
2021-01-01,1.25938945719906,83.6,1.111899488476052
2022-01-01,1.25938945719906,83.1,1.0938796365415402
2023-01-01,1.25938945719906,83.1,1.062664196088131
2024-01-01,1.25938945719906,83.1,1.062664196088131
