Year,land_area_where_elevation_is_below_5_meters_of_total_land_area_,renewable_energy_consumption_of_total_final_energy_consumption_,total_greenhouse_gas_emissions_excluding_lulucf_per_capita_t_co2e_capita_
1960-01-01,0.0,84.0,0.5151767047681198
1961-01-01,0.0,84.0,0.5151767047681198
1962-01-01,0.0,84.0,0.5151767047681198
1963-01-01,0.0,84.0,0.5151767047681198
1964-01-01,0.0,84.0,0.5151767047681198
1965-01-01,0.0,84.0,0.5151767047681198
1966-01-01,0.0,84.0,0.5151767047681198
1967-01-01,0.0,84.0,0.5151767047681198
1968-01-01,0.0,84.0,0.5151767047681198
1969-01-01,0.0,84.0,0.5151767047681198
1970-01-01,0.0,84.0,0.5151767047681198
1971-01-01,0.0,84.0,0.5206007281170274
1972-01-01,0.0,84.0,0.5412890618989737
1973-01-01,0.0,84.0,0.5387556760295591
1974-01-01,0.0,84.0,0.5490595150638832
1975-01-01,0.0,84.0,0.5519760591613935
1976-01-01,0.0,84.0,0.5618931164878319
1977-01-01,0.0,84.0,0.5554246557825732
1978-01-01,0.0,84.0,0.5489376144982592
1979-01-01,0.0,84.0,0.5355837504596724
1980-01-01,0.0,84.0,0.5261487098695098
1981-01-01,0.0,84.0,0.5221091102615011
1982-01-01,0.0,84.0,0.512193830277838
1983-01-01,0.0,84.0,0.49597905982790835
1984-01-01,0.0,84.0,0.4900031502248115
1985-01-01,0.0,84.0,0.5041527415232685
1986-01-01,0.0,84.0,0.49349394420778914
1987-01-01,0.0,84.0,0.5026422935295943
1988-01-01,0.0,84.0,0.4374254992024687
1989-01-01,0.0,84.0,0.4309072799039256
1990-01-01,0.0,84.0,0.6151677189212655
1991-01-01,0.0,82.6,0.6206886533599846
1992-01-01,0.0,82.7,0.6171535515411375
1993-01-01,0.0,81.3,0.61250343250852
1994-01-01,0.0,82.0,0.6173207512050789
1995-01-01,0.0,81.7,0.6273326701554277
1996-01-01,0.0,81.4,0.6356409460842632
1997-01-01,0.0,81.2,0.6415051644877147
1998-01-01,0.0,81.9,0.6728141785377687
1999-01-01,0.0,81.0,0.6815019527862732
2000-01-01,0.0,82.6,0.7190210059401153
2001-01-01,0.0,83.1,0.6977537764410391
2002-01-01,0.0,83.3,0.6839477325755612
2003-01-01,0.0,82.8,0.6825144271175465
2004-01-01,0.0,82.4,0.6688645637453217
2005-01-01,0.0,83.2,0.6965403743962923
2006-01-01,0.0,82.8,0.7120473446591449
2007-01-01,0.0,82.2,0.7373929783594891
2008-01-01,0.0,80.4,0.7559305077975278
2009-01-01,0.0,80.0,0.7459334633157977
2010-01-01,0.0,81.2,0.7715798434191621
2011-01-01,0.0,80.2,0.8541618872216497
2012-01-01,0.0,80.2,0.8478586024308611
2013-01-01,0.0,79.8,0.8035483141250959
2014-01-01,0.0,82.8,0.7975856385853102
2015-01-01,0.0,81.0,0.792094529734331
2016-01-01,0.0,78.9,0.7908820150476095
2017-01-01,0.0,76.9,0.8177900814951901
2018-01-01,0.0,73.2,0.8605424382589866
2019-01-01,0.0,70.9,0.9123634114436054
2020-01-01,0.0,71.5,0.8855379942794798
2021-01-01,0.0,71.1,0.9191830623419921
2022-01-01,0.0,62.9,0.9042610704949766
2023-01-01,0.0,62.9,0.9341191127079073
2024-01-01,0.0,62.9,0.9341191127079073
