Year,land_area_where_elevation_is_below_5_meters_of_total_land_area_,renewable_energy_consumption_of_total_final_energy_consumption_,total_greenhouse_gas_emissions_excluding_lulucf_per_capita_t_co2e_capita_
1960-01-01,0.0,87.2,1.8663351003557411
1961-01-01,0.0,87.2,1.8663351003557411
1962-01-01,0.0,87.2,1.8663351003557411
1963-01-01,0.0,87.2,1.8663351003557411
1964-01-01,0.0,87.2,1.8663351003557411
1965-01-01,0.0,87.2,1.8663351003557411
1966-01-01,0.0,87.2,1.8663351003557411
1967-01-01,0.0,87.2,1.8663351003557411
1968-01-01,0.0,87.2,1.8663351003557411
1969-01-01,0.0,87.2,1.8663351003557411
1970-01-01,0.0,87.2,1.8663351003557411
1971-01-01,0.0,87.2,1.8711202230687507
1972-01-01,0.0,87.2,1.634908692933662
1973-01-01,0.0,87.2,1.5117234738990097
1974-01-01,0.0,87.2,1.3709013085673067
1975-01-01,0.0,87.2,1.4642705609746358
1976-01-01,0.0,87.2,1.4605129537095287
1977-01-01,0.0,87.2,1.4490100732212012
1978-01-01,0.0,87.2,1.464137065537465
1979-01-01,0.0,87.2,1.6069793279320366
1980-01-01,0.0,87.2,1.6952227038920977
1981-01-01,0.0,87.2,1.7400893254779881
1982-01-01,0.0,87.2,1.7947521397054578
1983-01-01,0.0,87.2,1.564149158617943
1984-01-01,0.0,87.2,1.3651294209888922
1985-01-01,0.0,87.2,1.2613641886246645
1986-01-01,0.0,87.2,1.2657776790039756
1987-01-01,0.0,87.2,1.2733891445893664
1988-01-01,0.0,87.2,1.3154635795624086
1989-01-01,0.0,87.2,1.3436203671625293
1990-01-01,0.0,87.2,1.3703489442554226
1991-01-01,0.0,87.6,1.3623360655387524
1992-01-01,0.0,86.9,1.3213635992522144
1993-01-01,0.0,86.6,1.3123711786193977
1994-01-01,0.0,85.6,1.326603679671509
1995-01-01,0.0,85.1,1.339834164018668
1996-01-01,0.0,85.4,1.3461060615465446
1997-01-01,0.0,84.6,1.3283244861336994
1998-01-01,0.0,84.8,1.3600806551684759
1999-01-01,0.0,84.6,1.381555772187988
2000-01-01,0.0,83.5,1.4247587870881344
2001-01-01,0.0,82.1,1.4636306872356797
2002-01-01,0.0,83.6,1.4964538718511073
2003-01-01,0.0,85.8,1.5231823841708543
2004-01-01,0.0,81.5,1.5232160742348984
2005-01-01,0.0,82.3,1.5545497271625446
2006-01-01,0.0,81.7,1.5188197915689043
2007-01-01,0.0,78.9,1.5613674994942166
2008-01-01,0.0,75.0,1.5999095629666507
2009-01-01,0.0,78.7,1.6359713774815376
2010-01-01,0.0,84.0,1.6762413361063313
2011-01-01,0.0,83.6,1.6713290488115011
2012-01-01,0.0,81.2,1.6863858199721615
2013-01-01,0.0,84.8,1.7343280478979635
2014-01-01,0.0,84.6,1.7384148636643395
2015-01-01,0.0,81.2,1.7931081886527107
2016-01-01,0.0,77.9,1.9152439421864784
2017-01-01,0.0,77.0,1.9798000414979835
2018-01-01,0.0,77.2,2.0100645581676573
2019-01-01,0.0,74.9,2.0083769986384823
2020-01-01,0.0,72.8,2.0029855618325567
2021-01-01,0.0,71.2,2.02896738210422
2022-01-01,0.0,71.1,1.9431759867964826
2023-01-01,0.0,71.1,1.9126954052624652
2024-01-01,0.0,71.1,1.9126954052624652
