Year,land_area_where_elevation_is_below_5_meters_of_total_land_area_,renewable_energy_consumption_of_total_final_energy_consumption_,total_greenhouse_gas_emissions_excluding_lulucf_per_capita_t_co2e_capita_
1960-01-01,3.52118232099693,47.1,0.9964891041162228
1961-01-01,3.52118232099693,47.1,0.9964891041162228
1962-01-01,3.52118232099693,47.1,0.9964891041162228
1963-01-01,3.52118232099693,47.1,0.9964891041162228
1964-01-01,3.52118232099693,47.1,0.9964891041162228
1965-01-01,3.52118232099693,47.1,0.9964891041162228
1966-01-01,3.52118232099693,47.1,0.9964891041162228
1967-01-01,3.52118232099693,47.1,0.9964891041162228
1968-01-01,3.52118232099693,47.1,0.9964891041162228
1969-01-01,3.52118232099693,47.1,0.9964891041162228
1970-01-01,3.52118232099693,47.1,0.9964891041162228
1971-01-01,3.52118232099693,47.1,1.0268937001775438
1972-01-01,3.52118232099693,47.1,1.0612015919197515
1973-01-01,3.52118232099693,47.1,1.093523615924257
1974-01-01,3.52118232099693,47.1,1.1383282348680361
1975-01-01,3.52118232099693,47.1,1.1325112107623316
1976-01-01,3.52118232099693,47.1,1.1869737354482646
1977-01-01,3.52118232099693,47.1,1.283510911362208
1978-01-01,3.52118232099693,47.1,1.279058681369771
1979-01-01,3.52118232099693,47.1,1.2673073035978977
1980-01-01,3.52118232099693,47.1,1.2011937406253785
1981-01-01,3.52118232099693,47.1,1.2041262180482264
1982-01-01,3.52118232099693,47.1,1.1534264766186308
1983-01-01,3.52118232099693,47.1,1.216642657266562
1984-01-01,3.52118232099693,47.1,1.2551606813136658
1985-01-01,3.52118232099693,47.1,1.2189768433595158
1986-01-01,3.52118232099693,47.1,1.3675172118713292
1987-01-01,3.52118232099693,47.1,1.4218951781808777
1988-01-01,3.52118232099693,47.1,1.4922754996697785
1989-01-01,3.52118232099693,47.1,1.6022677548846145
1990-01-01,3.52118232099693,47.1,1.74069089277703
1991-01-01,3.521182320997465,43.4,1.7959086806457458
1992-01-01,3.5211823209979998,43.2,1.847864475799052
1993-01-01,3.521182320998535,38.8,1.9472850641622637
1994-01-01,3.52118232099907,35.4,1.9658605054068579
1995-01-01,3.521182320999605,38.8,2.007916561614387
1996-01-01,3.52118232100014,35.6,2.064116628277348
1997-01-01,3.521182321000675,36.5,2.0532377007778564
1998-01-01,3.52118232100121,33.5,2.1897225231187645
1999-01-01,3.5211823210017448,21.0,2.5153433219855574
2000-01-01,3.52118232100228,20.4,2.731547520248586
2001-01-01,3.521182321001492,20.1,2.836861054245344
2002-01-01,3.521182321000704,17.9,2.8101784710709845
2003-01-01,3.521182320999916,18.9,2.8610399136289835
2004-01-01,3.5211823209991278,19.1,2.884268097621382
2005-01-01,3.52118232099834,17.6,2.995634453459952
2006-01-01,3.521182320997552,16.4,3.594176966537979
2007-01-01,3.521182320996764,15.7,3.6864225615707915
2008-01-01,3.521182320995976,12.7,3.7718196220464084
2009-01-01,3.521182320995188,12.8,3.7609354921201925
2010-01-01,3.5211823209944,12.8,3.98448496481126
2011-01-01,3.521182320993612,12.0,3.9996678388123956
2012-01-01,3.521182320992824,11.4,4.0777716377812565
2013-01-01,3.521182320992036,11.4,4.190870479384428
2014-01-01,3.521182320991248,10.6,4.345357783965849
2015-01-01,3.52118232099046,11.5,4.378804303500177
2016-01-01,3.52118232099046,10.3,4.4656881480232995
2017-01-01,3.52118232099046,9.4,4.650771175606991
2018-01-01,3.52118232099046,9.2,4.657243296930965
2019-01-01,3.52118232099046,8.9,4.7175914406568795
2020-01-01,3.52118232099046,9.4,4.397897653580451
2021-01-01,3.52118232099046,8.6,4.626741444200346
2022-01-01,3.52118232099046,8.6,4.732349430465822
2023-01-01,3.52118232099046,8.6,4.91554200061695
2024-01-01,3.52118232099046,8.6,4.91554200061695
