Year,land_area_where_elevation_is_below_5_meters_of_total_land_area_,renewable_energy_consumption_of_total_final_energy_consumption_,total_greenhouse_gas_emissions_excluding_lulucf_per_capita_t_co2e_capita_
1960-01-01,0.216119843145269,22.4,1.470562477192659
1961-01-01,0.216119843145269,22.4,1.470562477192659
1962-01-01,0.216119843145269,22.4,1.470562477192659
1963-01-01,0.216119843145269,22.4,1.470562477192659
1964-01-01,0.216119843145269,22.4,1.470562477192659
1965-01-01,0.216119843145269,22.4,1.470562477192659
1966-01-01,0.216119843145269,22.4,1.470562477192659
1967-01-01,0.216119843145269,22.4,1.470562477192659
1968-01-01,0.216119843145269,22.4,1.470562477192659
1969-01-01,0.216119843145269,22.4,1.470562477192659
1970-01-01,0.216119843145269,22.4,1.470562477192659
1971-01-01,0.216119843145269,22.4,1.4766708152937822
1972-01-01,0.216119843145269,22.4,1.4695292065931325
1973-01-01,0.216119843145269,22.4,1.5221787660120019
1974-01-01,0.216119843145269,22.4,1.5329773043154105
1975-01-01,0.216119843145269,22.4,1.5531766299223837
1976-01-01,0.216119843145269,22.4,1.583459190305415
1977-01-01,0.216119843145269,22.4,1.6074600177765381
1978-01-01,0.216119843145269,22.4,1.6599751534105072
1979-01-01,0.216119843145269,22.4,1.6826593992937915
1980-01-01,0.216119843145269,22.4,1.7041211271790468
1981-01-01,0.216119843145269,22.4,1.6431894461362069
1982-01-01,0.216119843145269,22.4,1.536369952941275
1983-01-01,0.216119843145269,22.4,1.5776971473307435
1984-01-01,0.216119843145269,22.4,1.5371742730706963
1985-01-01,0.216119843145269,22.4,1.5814495038494474
1986-01-01,0.216119843145269,22.4,1.6324066007743177
1987-01-01,0.216119843145269,22.4,1.6705840691873375
1988-01-01,0.216119843145269,22.4,1.667213888507337
1989-01-01,0.216119843145269,22.4,1.732678168312725
1990-01-01,0.216119843145269,22.4,1.7419708789352084
1991-01-01,0.2161198431452819,23.0,1.7505655668406817
1992-01-01,0.2161198431452948,21.6,1.7832605677476714
1993-01-01,0.2161198431453077,19.0,1.7474574837945847
1994-01-01,0.2161198431453206,19.0,1.8331958889607414
1995-01-01,0.2161198431453335,17.7,1.8548431483120336
1996-01-01,0.2161198431453464,19.1,1.842651553129059
1997-01-01,0.2161198431453593,18.8,1.9046322764459207
1998-01-01,0.2161198431453722,17.6,1.914368034810957
1999-01-01,0.2161198431453851,15.9,1.9705301057948073
2000-01-01,0.216119843145398,15.5,1.9929786811481442
2001-01-01,0.2161198431454182,15.3,2.098974469334914
2002-01-01,0.21611984314543842,15.1,2.1253886634293373
2003-01-01,0.2161198431454586,16.1,2.117152662461367
2004-01-01,0.2161198431454788,22.4,2.2864841198973673
2005-01-01,0.216119843145499,20.0,2.325273903437575
2006-01-01,0.2161198431455192,18.2,2.3402711459405294
2007-01-01,0.21611984314553942,16.6,2.3389118639533018
2008-01-01,0.2161198431455596,14.4,2.4242593366161116
2009-01-01,0.2161198431455798,14.2,2.392964042272092
2010-01-01,0.2161198431456,13.9,2.4818942399880544
2011-01-01,0.21611984314562022,11.8,2.6121403761989184
2012-01-01,0.21611984314564042,10.9,2.6601546665485043
2013-01-01,0.2161198431456606,11.6,2.6534757411238585
2014-01-01,0.2161198431456808,11.1,2.666086435872413
2015-01-01,0.216119843145701,11.2,2.7008614411382847
2016-01-01,0.216119843145701,11.1,2.6795727217904273
2017-01-01,0.216119843145701,10.4,2.7588449622742983
2018-01-01,0.216119843145701,10.9,2.7848512378431107
2019-01-01,0.216119843145701,10.7,2.9580846075675895
2020-01-01,0.216119843145701,11.1,2.8202851897190175
2021-01-01,0.216119843145701,10.9,2.957243949184783
2022-01-01,0.216119843145701,10.9,2.8516948616766817
2023-01-01,0.216119843145701,10.9,2.826706950386881
2024-01-01,0.216119843145701,10.9,2.826706950386881
