Year,land_area_where_elevation_is_below_5_meters_of_total_land_area_,renewable_energy_consumption_of_total_final_energy_consumption_,total_greenhouse_gas_emissions_excluding_lulucf_per_capita_t_co2e_capita_
1960-01-01,2.06299817325133,93.0,1.162522638005475
1961-01-01,2.06299817325133,93.0,1.162522638005475
1962-01-01,2.06299817325133,93.0,1.162522638005475
1963-01-01,2.06299817325133,93.0,1.162522638005475
1964-01-01,2.06299817325133,93.0,1.162522638005475
1965-01-01,2.06299817325133,93.0,1.162522638005475
1966-01-01,2.06299817325133,93.0,1.162522638005475
1967-01-01,2.06299817325133,93.0,1.162522638005475
1968-01-01,2.06299817325133,93.0,1.162522638005475
1969-01-01,2.06299817325133,93.0,1.162522638005475
1970-01-01,2.06299817325133,93.0,1.162522638005475
1971-01-01,2.06299817325133,93.0,1.150713720878723
1972-01-01,2.06299817325133,93.0,1.0722615549293766
1973-01-01,2.06299817325133,93.0,1.076607042784861
1974-01-01,2.06299817325133,93.0,1.0305872840388246
1975-01-01,2.06299817325133,93.0,0.9596033547231857
1976-01-01,2.06299817325133,93.0,0.9112303185226948
1977-01-01,2.06299817325133,93.0,0.8669752248783005
1978-01-01,2.06299817325133,93.0,0.8018082075671602
1979-01-01,2.06299817325133,93.0,0.7675262124858632
1980-01-01,2.06299817325133,93.0,0.7887196271138328
1981-01-01,2.06299817325133,93.0,0.7544609425536217
1982-01-01,2.06299817325133,93.0,0.8533900749046249
1983-01-01,2.06299817325133,93.0,0.8231030737408586
1984-01-01,2.06299817325133,93.0,0.7331872139178175
1985-01-01,2.06299817325133,93.0,0.756931915174729
1986-01-01,2.06299817325133,93.0,0.7282834026776235
1987-01-01,2.06299817325133,93.0,0.6942521836879242
1988-01-01,2.06299817325133,93.0,0.6757361671264644
1989-01-01,2.06299817325133,93.0,0.6989083774326826
1990-01-01,2.06299817325133,93.0,0.675159419535032
1991-01-01,2.062998173252062,94.2,0.6385666962999799
1992-01-01,2.062998173252794,93.0,0.650025313450448
1993-01-01,2.062998173253526,91.8,0.6417604997497721
1994-01-01,2.062998173254258,93.1,0.622934120747356
1995-01-01,2.0629981732549902,92.8,0.6029561674956909
1996-01-01,2.062998173255722,93.1,0.5964233396068996
1997-01-01,2.062998173256454,92.6,0.5078294478424814
1998-01-01,2.062998173257186,94.0,0.6088360726679516
1999-01-01,2.062998173257918,94.2,0.5700130581590488
2000-01-01,2.06299817325865,93.6,0.5983843154637323
2001-01-01,2.062998173258506,93.0,0.6214029776786574
2002-01-01,2.0629981732583618,93.2,0.6501677520466193
2003-01-01,2.062998173258218,92.7,0.6598126335086162
2004-01-01,2.062998173258074,92.9,0.6744903671630583
2005-01-01,2.06299817325793,93.7,0.7223251082059412
2006-01-01,2.062998173257786,93.1,0.6957251874685472
2007-01-01,2.062998173257642,87.5,0.7080119515390036
2008-01-01,2.062998173257498,88.1,0.6728207424012683
2009-01-01,2.062998173257354,86.1,0.6179688094876036
2010-01-01,2.06299817325721,84.9,0.6399430241918916
2011-01-01,2.062998173257066,85.4,0.8276826808903313
2012-01-01,2.062998173256922,84.5,0.930230226619069
2013-01-01,2.062998173256778,83.1,0.9636825352269761
2014-01-01,2.062998173256634,81.2,0.986347583562037
2015-01-01,2.06299817325649,80.1,0.9512093987352215
2016-01-01,2.06299817325649,77.4,1.0091522127160135
2017-01-01,2.06299817325649,78.2,1.0685038726825973
2018-01-01,2.06299817325649,79.0,1.1440920533709296
2019-01-01,2.06299817325649,77.5,1.0196329989111368
2020-01-01,2.06299817325649,80.2,0.926247043564111
2021-01-01,2.06299817325649,76.9,1.0067365127823438
2022-01-01,2.06299817325649,76.9,1.0543832870440772
2023-01-01,2.06299817325649,76.9,1.0094793662346186
2024-01-01,2.06299817325649,76.9,1.0094793662346186
