Year,land_area_where_elevation_is_below_5_meters_of_total_land_area_,renewable_energy_consumption_of_total_final_energy_consumption_,total_greenhouse_gas_emissions_excluding_lulucf_per_capita_t_co2e_capita_
1960-01-01,0.0,91.4,2.3796012063802676
1961-01-01,0.0,91.4,2.3796012063802676
1962-01-01,0.0,91.4,2.3796012063802676
1963-01-01,0.0,91.4,2.3796012063802676
1964-01-01,0.0,91.4,2.3796012063802676
1965-01-01,0.0,91.4,2.3796012063802676
1966-01-01,0.0,91.4,2.3796012063802676
1967-01-01,0.0,91.4,2.3796012063802676
1968-01-01,0.0,91.4,2.3796012063802676
1969-01-01,0.0,91.4,2.3796012063802676
1970-01-01,0.0,91.4,2.3796012063802676
1971-01-01,0.0,91.4,2.3853147621814297
1972-01-01,0.0,91.4,2.3644376121977353
1973-01-01,0.0,91.4,1.7554658570644508
1974-01-01,0.0,91.4,1.7196098206109312
1975-01-01,0.0,91.4,1.7926962457723021
1976-01-01,0.0,91.4,1.8832518872043391
1977-01-01,0.0,91.4,2.0141053391310164
1978-01-01,0.0,91.4,2.028452003239879
1979-01-01,0.0,91.4,2.0369550718690244
1980-01-01,0.0,91.4,2.0618415569434734
1981-01-01,0.0,91.4,2.1035095506078294
1982-01-01,0.0,91.4,2.1339431746922797
1983-01-01,0.0,91.4,2.1809623524515533
1984-01-01,0.0,91.4,1.5430455496846514
1985-01-01,0.0,91.4,1.2941849617129106
1986-01-01,0.0,91.4,1.2984931045797117
1987-01-01,0.0,91.4,1.2979242575534147
1988-01-01,0.0,91.4,1.3047252746688756
1989-01-01,0.0,91.4,1.3130913354192648
1990-01-01,0.0,91.4,1.2989407871703544
1991-01-01,0.0,92.1,1.3073746036574665
1992-01-01,0.0,92.8,1.315409702354362
1993-01-01,0.0,92.0,1.3516630261398215
1994-01-01,0.0,92.6,1.3493883653757963
1995-01-01,0.0,93.4,1.359088021663222
1996-01-01,0.0,91.9,1.3818521168853457
1997-01-01,0.0,93.5,1.4075928000170261
1998-01-01,0.0,93.1,1.4205393647930677
1999-01-01,0.0,93.0,1.4255477286933083
2000-01-01,0.0,87.6,1.4089940336917868
2001-01-01,0.0,87.7,1.4232952288579637
2002-01-01,0.0,87.7,1.433872663562754
2003-01-01,0.0,87.0,1.4461063638119733
2004-01-01,0.0,87.0,1.4566590450839283
2005-01-01,0.0,87.5,1.4571329042223313
2006-01-01,0.0,87.4,1.4547487237868995
2007-01-01,0.0,86.2,1.4601100677469887
2008-01-01,0.0,86.1,1.4652144605669282
2009-01-01,0.0,83.2,1.475952062495002
2010-01-01,0.0,80.7,1.4090115709051423
2011-01-01,0.0,77.2,1.4035458079026761
2012-01-01,0.0,72.7,1.4504476679604923
2013-01-01,0.0,78.7,1.4699325017880767
2014-01-01,0.0,78.1,1.4840567781623029
2015-01-01,0.0,78.9,1.4827454532706892
2016-01-01,0.0,80.2,1.4945358769390702
2017-01-01,0.0,82.0,1.4990217604989418
2018-01-01,0.0,82.0,1.5193435715383796
2019-01-01,0.0,80.7,1.5463384939974745
2020-01-01,0.0,81.9,1.5665151463597962
2021-01-01,0.0,79.6,1.5973339471572687
2022-01-01,0.0,79.6,1.6165116800653982
2023-01-01,0.0,79.6,1.618284221399138
2024-01-01,0.0,79.6,1.618284221399138
