Year,land_area_where_elevation_is_below_5_meters_of_total_land_area_,renewable_energy_consumption_of_total_final_energy_consumption_,total_greenhouse_gas_emissions_excluding_lulucf_per_capita_t_co2e_capita_
1960-01-01,2.10696169438517,87.8,3.2595668238062303
1961-01-01,2.10696169438517,87.8,3.2595668238062303
1962-01-01,2.10696169438517,87.8,3.2595668238062303
1963-01-01,2.10696169438517,87.8,3.2595668238062303
1964-01-01,2.10696169438517,87.8,3.2595668238062303
1965-01-01,2.10696169438517,87.8,3.2595668238062303
1966-01-01,2.10696169438517,87.8,3.2595668238062303
1967-01-01,2.10696169438517,87.8,3.2595668238062303
1968-01-01,2.10696169438517,87.8,3.2595668238062303
1969-01-01,2.10696169438517,87.8,3.2595668238062303
1970-01-01,2.10696169438517,87.8,3.2595668238062303
1971-01-01,2.10696169438517,87.8,3.4467288152810562
1972-01-01,2.10696169438517,87.8,3.960398928714549
1973-01-01,2.10696169438517,87.8,4.375986014745581
1974-01-01,2.10696169438517,87.8,4.798197264216248
1975-01-01,2.10696169438517,87.8,3.8233462225647155
1976-01-01,2.10696169438517,87.8,4.237882893423856
1977-01-01,2.10696169438517,87.8,4.034442687908114
1978-01-01,2.10696169438517,87.8,3.7695452586608544
1979-01-01,2.10696169438517,87.8,4.527227396723965
1980-01-01,2.10696169438517,87.8,4.047921822055637
1981-01-01,2.10696169438517,87.8,3.1241399565334236
1982-01-01,2.10696169438517,87.8,2.875640921887695
1983-01-01,2.10696169438517,87.8,2.770567140562215
1984-01-01,2.10696169438517,87.8,2.8521173510410476
1985-01-01,2.10696169438517,87.8,2.917825847267284
1986-01-01,2.10696169438517,87.8,2.8085037369855983
1987-01-01,2.10696169438517,87.8,2.5970816319669554
1988-01-01,2.10696169438517,87.8,2.7422142273497014
1989-01-01,2.10696169438517,87.8,2.9412833760568784
1990-01-01,2.10696169438517,87.8,2.8655709364382598
1991-01-01,2.106961694384366,86.5,2.947977561448406
1992-01-01,2.106961694383562,84.5,3.108846229324458
1993-01-01,2.106961694382758,86.3,3.0641967292329455
1994-01-01,2.106961694381954,88.6,3.217188149605422
1995-01-01,2.10696169438115,88.0,3.421635599851679
1996-01-01,2.106961694380346,87.1,3.847283638079065
1997-01-01,2.106961694379542,85.6,3.5325556487651486
1998-01-01,2.106961694378738,87.2,3.175912365187484
1999-01-01,2.106961694377934,87.2,2.9948941594176937
2000-01-01,2.10696169437713,86.0,3.207088158902767
2001-01-01,2.1069616943775187,84.5,3.1794898292306573
2002-01-01,2.1069616943779073,84.5,2.7044550898241275
2003-01-01,2.1069616943782963,82.9,2.8985571152695866
2004-01-01,2.106961694378685,84.0,2.7619811545038395
2005-01-01,2.1069616943790734,83.9,2.637870267753589
2006-01-01,2.106961694379462,85.8,2.389895166759556
2007-01-01,2.1069616943798506,87.1,2.180617685860518
2008-01-01,2.1069616943802396,85.7,2.1488135405096003
2009-01-01,2.106961694380628,88.1,1.984471235276656
2010-01-01,2.1069616943810168,86.0,2.075370922224667
2011-01-01,2.1069616943814053,84.1,2.147755650588001
2012-01-01,2.106961694381794,83.9,2.113409643126975
2013-01-01,2.106961694382183,81.4,2.0873364410184903
2014-01-01,2.1069616943825715,79.9,2.0891497849762595
2015-01-01,2.10696169438296,81.3,2.00370922029729
2016-01-01,2.10696169438296,81.1,1.9336310149674816
2017-01-01,2.10696169438296,81.6,1.9148545911651789
2018-01-01,2.10696169438296,80.8,1.9241514373403896
2019-01-01,2.10696169438296,80.1,1.9483106243067039
2020-01-01,2.10696169438296,81.8,1.781538335022904
2021-01-01,2.10696169438296,80.3,1.7700131047881609
2022-01-01,2.10696169438296,80.3,1.703611801764847
2023-01-01,2.10696169438296,80.3,1.689959290283878
2024-01-01,2.10696169438296,80.3,1.689959290283878
