Year,land_area_where_elevation_is_below_5_meters_of_total_land_area_,renewable_energy_consumption_of_total_final_energy_consumption_,total_greenhouse_gas_emissions_excluding_lulucf_per_capita_t_co2e_capita_
1960-01-01,0.0,80.1,1.0630876367766322
1961-01-01,0.0,80.1,1.0630876367766322
1962-01-01,0.0,80.1,1.0630876367766322
1963-01-01,0.0,80.1,1.0630876367766322
1964-01-01,0.0,80.1,1.0630876367766322
1965-01-01,0.0,80.1,1.0630876367766322
1966-01-01,0.0,80.1,1.0630876367766322
1967-01-01,0.0,80.1,1.0630876367766322
1968-01-01,0.0,80.1,1.0630876367766322
1969-01-01,0.0,80.1,1.0630876367766322
1970-01-01,0.0,80.1,1.0630876367766322
1971-01-01,0.0,80.1,1.0402571289478846
1972-01-01,0.0,80.1,1.0325957536546269
1973-01-01,0.0,80.1,1.0289877186598904
1974-01-01,0.0,80.1,1.0071234635338209
1975-01-01,0.0,80.1,1.0098035300694834
1976-01-01,0.0,80.1,0.9744510798039762
1977-01-01,0.0,80.1,0.9681194049392011
1978-01-01,0.0,80.1,0.961218596150955
1979-01-01,0.0,80.1,0.8967652437855295
1980-01-01,0.0,80.1,0.9242407288718891
1981-01-01,0.0,80.1,0.9204248782844209
1982-01-01,0.0,80.1,0.9126771038819765
1983-01-01,0.0,80.1,0.9069293725597177
1984-01-01,0.0,80.1,0.8938823539813417
1985-01-01,0.0,80.1,0.8910237211637763
1986-01-01,0.0,80.1,0.8693820355882173
1987-01-01,0.0,80.1,0.8609535560671001
1988-01-01,0.0,80.1,0.8544832565569438
1989-01-01,0.0,80.1,0.8580448524964
1990-01-01,0.0,80.1,0.7554532984186285
1991-01-01,0.0,81.8,0.7102463329846316
1992-01-01,0.0,81.6,0.6527953086617072
1993-01-01,0.0,81.3,0.59583026568161
1994-01-01,0.0,78.5,0.7125514107631642
1995-01-01,0.0,88.4,0.8545292854325554
1996-01-01,0.0,89.2,0.7579041385268582
1997-01-01,0.0,91.1,0.729378002325654
1998-01-01,0.0,90.8,0.4808776787898458
1999-01-01,0.0,90.8,0.5133216951778566
2000-01-01,0.0,86.8,0.48495659386474027
2001-01-01,0.0,86.9,0.4996564537580966
2002-01-01,0.0,87.1,0.5172151072953198
2003-01-01,0.0,87.3,0.5216798893660383
2004-01-01,0.0,87.6,0.5250177954832818
2005-01-01,0.0,89.2,0.5193754991977495
2006-01-01,0.0,90.6,0.5356025639067942
2007-01-01,0.0,90.3,0.5341608155784968
2008-01-01,0.0,90.6,0.541141823016076
2009-01-01,0.0,90.5,0.5420244379167813
2010-01-01,0.0,90.5,0.5554320874339099
2011-01-01,0.0,89.7,0.5381921408456218
2012-01-01,0.0,88.8,0.5410760449241411
2013-01-01,0.0,88.5,0.5461475083248147
2014-01-01,0.0,88.0,0.5394132052273533
2015-01-01,0.0,86.3,0.5827652215777599
2016-01-01,0.0,85.5,0.5713898343535794
2017-01-01,0.0,84.5,0.5705675926851695
2018-01-01,0.0,82.8,0.5803333056801108
2019-01-01,0.0,81.8,0.5806465398721347
2020-01-01,0.0,81.7,0.576174339232917
2021-01-01,0.0,79.4,0.5756009242800215
2022-01-01,0.0,79.9,0.5475630776578764
2023-01-01,0.0,79.9,0.5369820181646442
2024-01-01,0.0,79.9,0.5369820181646442
