Year,land_area_where_elevation_is_below_5_meters_of_total_land_area_,renewable_energy_consumption_of_total_final_energy_consumption_,total_greenhouse_gas_emissions_excluding_lulucf_per_capita_t_co2e_capita_
1960-01-01,3.40135779698711,50.9,0.4405740344729858
1961-01-01,3.40135779698711,50.9,0.4405740344729858
1962-01-01,3.40135779698711,50.9,0.4405740344729858
1963-01-01,3.40135779698711,50.9,0.4405740344729858
1964-01-01,3.40135779698711,50.9,0.4405740344729858
1965-01-01,3.40135779698711,50.9,0.4405740344729858
1966-01-01,3.40135779698711,50.9,0.4405740344729858
1967-01-01,3.40135779698711,50.9,0.4405740344729858
1968-01-01,3.40135779698711,50.9,0.4405740344729858
1969-01-01,3.40135779698711,50.9,0.4405740344729858
1970-01-01,3.40135779698711,50.9,0.4405740344729858
1971-01-01,3.40135779698711,50.9,0.43111055086348166
1972-01-01,3.40135779698711,50.9,0.41460495304845696
1973-01-01,3.40135779698711,50.9,0.4203000072465518
1974-01-01,3.40135779698711,50.9,0.4204459561602419
1975-01-01,3.40135779698711,50.9,0.43133274899663243
1976-01-01,3.40135779698711,50.9,0.44420953194934887
1977-01-01,3.40135779698711,50.9,0.4381113021763179
1978-01-01,3.40135779698711,50.9,0.43392967567221785
1979-01-01,3.40135779698711,50.9,0.45401653991605373
1980-01-01,3.40135779698711,50.9,0.44142717973697027
1981-01-01,3.40135779698711,50.9,0.4402922029518462
1982-01-01,3.40135779698711,50.9,0.4194794552620283
1983-01-01,3.40135779698711,50.9,0.4368652998658747
1984-01-01,3.40135779698711,50.9,0.43141530537436323
1985-01-01,3.40135779698711,50.9,0.42518728487548085
1986-01-01,3.40135779698711,50.9,0.44624381466486723
1987-01-01,3.40135779698711,50.9,0.523178749813464
1988-01-01,3.40135779698711,50.9,0.49256449943987884
1989-01-01,3.40135779698711,50.9,0.46758182681969346
1990-01-01,3.40135779698711,50.9,0.6692145064238086
1991-01-01,3.401357796986561,50.9,0.7709014534953101
1992-01-01,3.4013577969860123,54.2,0.701740691593162
1993-01-01,3.401357796985463,54.5,0.6844642706584807
1994-01-01,3.401357796984914,53.4,0.755658017659645
1995-01-01,3.401357796984365,53.9,0.7672634271099743
1996-01-01,3.4013577969838162,55.6,0.7797783326762168
1997-01-01,3.4013577969832673,56.1,0.7766948359511092
1998-01-01,3.401357796982718,55.1,0.7815219785294598
1999-01-01,3.401357796982169,56.7,0.8136645090633381
2000-01-01,3.40135779698162,54.7,0.7971225818994847
2001-01-01,3.401357796981586,55.5,0.7795046968403074
2002-01-01,3.4013577969815523,55.3,0.8337668921172343
2003-01-01,3.401357796981518,51.8,0.8828845228652789
2004-01-01,3.4013577969814843,48.9,0.930217811737104
2005-01-01,3.40135779698145,47.9,0.95954565420474
2006-01-01,3.401357796981416,47.3,0.9816587981018848
2007-01-01,3.401357796981382,47.7,0.9699469652327636
2008-01-01,3.401357796981348,46.0,1.0006156749696478
2009-01-01,3.4013577969813142,45.4,1.049181065261761
2010-01-01,3.40135779698128,38.2,1.079746097402669
2011-01-01,3.401357796981246,42.4,1.0853815533614508
2012-01-01,3.401357796981212,40.1,1.0995623921156679
2013-01-01,3.401357796981178,42.8,1.09139105763456
2014-01-01,3.401357796981144,38.4,1.0642028388906677
2015-01-01,3.40135779698111,39.2,1.085919986419759
2016-01-01,3.40135779698111,38.1,1.102170465759074
2017-01-01,3.40135779698111,39.2,1.097260472532251
2018-01-01,3.40135779698111,40.6,1.0709511054441998
2019-01-01,3.40135779698111,38.6,1.1734273074904402
2020-01-01,3.40135779698111,41.6,1.1980591901027893
2021-01-01,3.40135779698111,40.8,1.1839917823401407
2022-01-01,3.40135779698111,42.5,1.2938291244117452
2023-01-01,3.40135779698111,42.5,1.314586933828848
2024-01-01,3.40135779698111,42.5,1.314586933828848
