Year,land_area_where_elevation_is_below_5_meters_of_total_land_area_,renewable_energy_consumption_of_total_final_energy_consumption_,total_greenhouse_gas_emissions_excluding_lulucf_per_capita_t_co2e_capita_
1960-01-01,4.34850399015276,55.5,1.7388333324377432
1961-01-01,4.34850399015276,55.5,1.7388333324377432
1962-01-01,4.34850399015276,55.5,1.7388333324377432
1963-01-01,4.34850399015276,55.5,1.7388333324377432
1964-01-01,4.34850399015276,55.5,1.7388333324377432
1965-01-01,4.34850399015276,55.5,1.7388333324377432
1966-01-01,4.34850399015276,55.5,1.7388333324377432
1967-01-01,4.34850399015276,55.5,1.7388333324377432
1968-01-01,4.34850399015276,55.5,1.7388333324377432
1969-01-01,4.34850399015276,55.5,1.7388333324377432
1970-01-01,4.34850399015276,55.5,1.7388333324377432
1971-01-01,4.34850399015276,55.5,1.7084381459339084
1972-01-01,4.34850399015276,55.5,1.5992176531661786
1973-01-01,4.34850399015276,55.5,1.5176510348337144
1974-01-01,4.34850399015276,55.5,1.5292964202553883
1975-01-01,4.34850399015276,55.5,1.5451544342182366
1976-01-01,4.34850399015276,55.5,1.5379677065210102
1977-01-01,4.34850399015276,55.5,1.5303474607913268
1978-01-01,4.34850399015276,55.5,1.5296611265323012
1979-01-01,4.34850399015276,55.5,1.5101628208129378
1980-01-01,4.34850399015276,55.5,1.420152941389802
1981-01-01,4.34850399015276,55.5,1.4000460217836443
1982-01-01,4.34850399015276,55.5,1.3797716113517693
1983-01-01,4.34850399015276,55.5,1.2945362988148952
1984-01-01,4.34850399015276,55.5,1.2902800950985356
1985-01-01,4.34850399015276,55.5,1.328493000525041
1986-01-01,4.34850399015276,55.5,1.326816698341657
1987-01-01,4.34850399015276,55.5,1.3363355094167504
1988-01-01,4.34850399015276,55.5,1.2971324423309973
1989-01-01,4.34850399015276,55.5,1.2964185072472674
1990-01-01,4.34850399015276,55.5,1.2881122172681825
1991-01-01,4.348503990152514,55.3,1.2774129950768498
1992-01-01,4.348503990152268,53.7,1.2873398017603213
1993-01-01,4.348503990152022,55.1,1.2732769528629795
1994-01-01,4.348503990151776,54.8,1.274779750368677
1995-01-01,4.34850399015153,53.2,1.268080009484521
1996-01-01,4.3485039901512845,52.5,1.2951011214938015
1997-01-01,4.3485039901510385,50.7,1.3095175900886467
1998-01-01,4.3485039901507925,48.0,1.3372160566527116
1999-01-01,4.3485039901505464,45.9,1.4077545037775077
2000-01-01,4.3485039901503,47.5,1.3611703547058365
2001-01-01,4.348503990150483,45.8,1.409094460734233
2002-01-01,4.348503990150667,43.8,1.3822667872069117
2003-01-01,4.34850399015085,43.7,1.3450949783866994
2004-01-01,4.348503990151034,39.9,1.3890771835683615
2005-01-01,4.348503990151217,40.3,1.4290632382867403
2006-01-01,4.3485039901514,43.4,1.419005792474392
2007-01-01,4.348503990151584,40.0,1.4666266338519927
2008-01-01,4.348503990151767,39.8,1.490767791640755
2009-01-01,4.348503990151951,51.3,1.5156286309850486
2010-01-01,4.348503990152134,49.5,1.5358975602934388
2011-01-01,4.348503990152317,48.0,1.5564364775798434
2012-01-01,4.3485039901525,49.6,1.5399802937456497
2013-01-01,4.348503990152683,42.7,1.5313201976041018
2014-01-01,4.348503990152867,42.5,1.5353125634623042
2015-01-01,4.34850399015305,39.1,1.5962907988587391
2016-01-01,4.34850399015305,36.7,1.6529026764470913
2017-01-01,4.34850399015305,36.8,1.6058608586932654
2018-01-01,4.34850399015305,34.2,1.6177198928926317
2019-01-01,4.34850399015305,36.2,1.6091558438302342
2020-01-01,4.34850399015305,38.7,1.6061914494057168
2021-01-01,4.34850399015305,35.4,1.6471934891547562
2022-01-01,4.34850399015305,35.4,1.6312634966777997
2023-01-01,4.34850399015305,35.4,1.5955515709990493
2024-01-01,4.34850399015305,35.4,1.5955515709990493
