Year,land_area_where_elevation_is_below_5_meters_of_total_land_area_,renewable_energy_consumption_of_total_final_energy_consumption_,total_greenhouse_gas_emissions_excluding_lulucf_per_capita_t_co2e_capita_
1960-01-01,5.25668349060158,92.3,1.0827029302956988
1961-01-01,5.25668349060158,92.3,1.0827029302956988
1962-01-01,5.25668349060158,92.3,1.0827029302956988
1963-01-01,5.25668349060158,92.3,1.0827029302956988
1964-01-01,5.25668349060158,92.3,1.0827029302956988
1965-01-01,5.25668349060158,92.3,1.0827029302956988
1966-01-01,5.25668349060158,92.3,1.0827029302956988
1967-01-01,5.25668349060158,92.3,1.0827029302956988
1968-01-01,5.25668349060158,92.3,1.0827029302956988
1969-01-01,5.25668349060158,92.3,1.0827029302956988
1970-01-01,5.25668349060158,92.3,1.0827029302956988
1971-01-01,5.25668349060158,92.3,1.097197402163127
1972-01-01,5.25668349060158,92.3,1.0681185394480077
1973-01-01,5.25668349060158,92.3,1.0526848171666454
1974-01-01,5.25668349060158,92.3,1.0618878744745261
1975-01-01,5.25668349060158,92.3,1.0648622681539417
1976-01-01,5.25668349060158,92.3,1.0794632893337999
1977-01-01,5.25668349060158,92.3,1.0751764627332876
1978-01-01,5.25668349060158,92.3,1.0768659015354234
1979-01-01,5.25668349060158,92.3,1.0463915966926256
1980-01-01,5.25668349060158,92.3,1.0316345307233392
1981-01-01,5.25668349060158,92.3,0.9919615207221453
1982-01-01,5.25668349060158,92.3,0.9848942970491902
1983-01-01,5.25668349060158,92.3,0.9360802333149322
1984-01-01,5.25668349060158,92.3,0.8502685487465009
1985-01-01,5.25668349060158,92.3,0.8647117251963617
1986-01-01,5.25668349060158,92.3,0.8619561310810593
1987-01-01,5.25668349060158,92.3,0.9319485142248073
1988-01-01,5.25668349060158,92.3,0.92715319313654
1989-01-01,5.25668349060158,92.3,0.8879938384303365
1990-01-01,5.25668349060158,92.3,0.9583428246285052
1991-01-01,5.2566834906008175,91.8,0.9799666389325025
1992-01-01,5.2566834906000555,92.5,0.9050333072034478
1993-01-01,5.256683490599293,93.0,0.9169547259768157
1994-01-01,5.256683490598531,92.7,0.8956640199563634
1995-01-01,5.256683490597769,93.8,0.8901030561265741
1996-01-01,5.256683490597008,94.3,0.8993596414563693
1997-01-01,5.256683490596246,94.5,0.906478006524178
1998-01-01,5.256683490595484,94.6,0.9011391398778106
1999-01-01,5.256683490594722,95.0,0.8889906839741984
2000-01-01,5.25668349059396,93.3,0.8096326733973671
2001-01-01,5.256683490595008,91.2,0.8114277531391203
2002-01-01,5.256683490596056,88.0,0.8362173094891112
2003-01-01,5.256683490597104,86.5,0.8440641545153271
2004-01-01,5.256683490598152,86.5,0.8786311898108133
2005-01-01,5.2566834905992,88.1,0.9158785483500408
2006-01-01,5.256683490600248,84.4,1.000450531659361
2007-01-01,5.256683490601296,86.3,0.8525482523943568
2008-01-01,5.256683490602343,86.0,0.8660628949083604
2009-01-01,5.2566834906033915,86.1,0.8940912332061682
2010-01-01,5.2566834906044395,84.9,0.9130903332533039
2011-01-01,5.256683490605488,81.0,0.9534148571897362
2012-01-01,5.256683490606536,79.1,1.0033002192004983
2013-01-01,5.256683490607584,74.6,1.0034478439320762
2014-01-01,5.256683490608632,73.0,1.0216560009365387
2015-01-01,5.25668349060968,74.0,0.9143670725547074
2016-01-01,5.25668349060968,73.6,0.9366818554269841
2017-01-01,5.25668349060968,74.6,0.9128915903800618
2018-01-01,5.25668349060968,75.9,1.0092708208270949
2019-01-01,5.25668349060968,75.4,0.8409476938087486
2020-01-01,5.25668349060968,75.1,0.8382118652400399
2021-01-01,5.25668349060968,71.1,0.9234178530334166
2022-01-01,5.25668349060968,71.6,0.8368686137057442
2023-01-01,5.25668349060968,71.6,0.8200094746039011
2024-01-01,5.25668349060968,71.6,0.8200094746039011
