Year,land_area_where_elevation_is_below_5_meters_of_total_land_area_,renewable_energy_consumption_of_total_final_energy_consumption_,total_greenhouse_gas_emissions_excluding_lulucf_per_capita_t_co2e_capita_
1960-01-01,0.0,30.6,
1961-01-01,0.0,30.6,
1962-01-01,0.0,30.6,
1963-01-01,0.0,30.6,
1964-01-01,0.0,30.6,
1965-01-01,0.0,30.6,
1966-01-01,0.0,30.6,
1967-01-01,0.0,30.6,
1968-01-01,0.0,30.6,
1969-01-01,0.0,30.6,
1970-01-01,0.0,30.6,
1971-01-01,0.0,30.6,
1972-01-01,0.0,30.6,
1973-01-01,0.0,30.6,
1974-01-01,0.0,30.6,
1975-01-01,0.0,30.6,
1976-01-01,0.0,30.6,
1977-01-01,0.0,30.6,
1978-01-01,0.0,30.6,
1979-01-01,0.0,30.6,
1980-01-01,0.0,30.6,
1981-01-01,0.0,30.6,
1982-01-01,0.0,30.6,
1983-01-01,0.0,30.6,
1984-01-01,0.0,30.6,
1985-01-01,0.0,30.6,
1986-01-01,0.0,30.6,
1987-01-01,0.0,30.6,
1988-01-01,0.0,30.6,
1989-01-01,0.0,30.6,
1990-01-01,0.0,30.6,
1991-01-01,0.0,30.6,
1992-01-01,0.0,30.6,
1993-01-01,0.0,30.6,
1994-01-01,0.0,30.6,
1995-01-01,0.0,30.6,
1996-01-01,0.0,30.6,
1997-01-01,0.0,30.6,
1998-01-01,0.0,30.6,
1999-01-01,0.0,30.6,
2000-01-01,0.0,30.6,
2001-01-01,0.0,30.6,
2002-01-01,0.0,30.6,
2003-01-01,0.0,30.6,
2004-01-01,0.0,30.6,
2005-01-01,0.0,30.6,
2006-01-01,0.0,30.6,
2007-01-01,0.0,30.6,
2008-01-01,0.0,30.6,
2009-01-01,0.0,30.6,
2010-01-01,0.0,30.6,
2011-01-01,0.0,30.6,
2012-01-01,0.0,30.6,
2013-01-01,0.0,30.1,
2014-01-01,0.0,29.4,
2015-01-01,0.0,27.5,
2016-01-01,0.0,28.7,
2017-01-01,0.0,35.1,
2018-01-01,0.0,31.5,
2019-01-01,0.0,31.4,
2020-01-01,0.0,32.8,
2021-01-01,0.0,32.4,
2022-01-01,0.0,32.4,
2023-01-01,0.0,32.4,
2024-01-01,0.0,32.4,
