Year,land_area_where_elevation_is_below_5_meters_of_total_land_area_,renewable_energy_consumption_of_total_final_energy_consumption_,total_greenhouse_gas_emissions_excluding_lulucf_per_capita_t_co2e_capita_
1960-01-01,0.0836492778455363,73.3,3.2758678329115716
1961-01-01,0.0836492778455363,73.3,3.2758678329115716
1962-01-01,0.0836492778455363,73.3,3.2758678329115716
1963-01-01,0.0836492778455363,73.3,3.2758678329115716
1964-01-01,0.0836492778455363,73.3,3.2758678329115716
1965-01-01,0.0836492778455363,73.3,3.2758678329115716
1966-01-01,0.0836492778455363,73.3,3.2758678329115716
1967-01-01,0.0836492778455363,73.3,3.2758678329115716
1968-01-01,0.0836492778455363,73.3,3.2758678329115716
1969-01-01,0.0836492778455363,73.3,3.2758678329115716
1970-01-01,0.0836492778455363,73.3,3.2758678329115716
1971-01-01,0.0836492778455363,73.3,3.227332545870118
1972-01-01,0.0836492778455363,73.3,3.1826435425183686
1973-01-01,0.0836492778455363,73.3,3.3177067148735393
1974-01-01,0.0836492778455363,73.3,3.2384358329081597
1975-01-01,0.0836492778455363,73.3,3.2074403059325847
1976-01-01,0.0836492778455363,73.3,3.1208158072538956
1977-01-01,0.0836492778455363,73.3,3.009436047081207
1978-01-01,0.0836492778455363,73.3,2.9557241881380967
1979-01-01,0.0836492778455363,73.3,3.007095169825755
1980-01-01,0.0836492778455363,73.3,3.0631274398913644
1981-01-01,0.0836492778455363,73.3,3.064676434481411
1982-01-01,0.0836492778455363,73.3,3.186803230115578
1983-01-01,0.0836492778455363,73.3,3.0648040243289163
1984-01-01,0.0836492778455363,73.3,3.0402176795797184
1985-01-01,0.0836492778455363,73.3,3.0547719788412184
1986-01-01,0.0836492778455363,73.3,2.834238241881823
1987-01-01,0.0836492778455363,73.3,2.7120386551900943
1988-01-01,0.0836492778455363,73.3,2.738159705419953
1989-01-01,0.0836492778455363,73.3,2.700233598797888
1990-01-01,0.0836492778455363,73.3,2.752544208993028
1991-01-01,0.08364927784552535,76.2,2.745280115293372
1992-01-01,0.0836492778455144,77.4,2.9144181699110083
1993-01-01,0.08364927784550345,85.6,2.984518369167219
1994-01-01,0.0836492778454925,79.5,3.188519622484627
1995-01-01,0.08364927784548155,81.5,3.135321483828948
1996-01-01,0.0836492778454706,83.6,3.173406699744859
1997-01-01,0.08364927784545965,80.5,3.199553206202477
1998-01-01,0.0836492778454487,81.9,3.258963046939153
1999-01-01,0.08364927784543776,80.8,3.3261983428092834
2000-01-01,0.0836492778454268,80.4,3.4097950712781095
2001-01-01,0.083649277845447,79.4,3.514184811253168
2002-01-01,0.08364927784546719,76.8,3.5528608550074727
2003-01-01,0.08364927784548738,77.0,3.590155015539686
2004-01-01,0.08364927784550757,75.4,3.6012307244413053
2005-01-01,0.08364927784552777,72.3,3.6436690618302268
2006-01-01,0.08364927784554796,69.2,3.656192471751525
2007-01-01,0.08364927784556815,65.6,3.6627458652578495
2008-01-01,0.08364927784558836,63.5,3.6167104548598945
2009-01-01,0.08364927784560855,63.1,3.5724347338619884
2010-01-01,0.08364927784562874,61.3,3.510862912003674
2011-01-01,0.08364927784564893,63.7,3.3511565846096514
2012-01-01,0.08364927784566913,63.7,3.327508807611306
2013-01-01,0.08364927784568932,64.3,3.286955389039955
2014-01-01,0.08364927784570951,63.7,3.249310118212977
2015-01-01,0.0836492778457297,61.9,3.2374826265487697
2016-01-01,0.0836492778457297,58.9,3.234591598058473
2017-01-01,0.0836492778457297,59.4,3.1171172487269256
2018-01-01,0.0836492778457297,59.8,3.113100714265754
2019-01-01,0.0836492778457297,59.4,3.021460245114102
2020-01-01,0.0836492778457297,62.6,2.921014025641926
2021-01-01,0.0836492778457297,61.0,2.876537304529826
2022-01-01,0.0836492778457297,61.0,2.7889685725224043
2023-01-01,0.0836492778457297,61.0,2.7724592739042073
2024-01-01,0.0836492778457297,61.0,2.7724592739042073
