Year,land_area_where_elevation_is_below_5_meters_of_total_land_area_,renewable_energy_consumption_of_total_final_energy_consumption_,total_greenhouse_gas_emissions_excluding_lulucf_per_capita_t_co2e_capita_
1960-01-01,1.47000587988121,14.5,2.041062510084975
1961-01-01,1.47000587988121,14.5,2.041062510084975
1962-01-01,1.47000587988121,14.5,2.041062510084975
1963-01-01,1.47000587988121,14.5,2.041062510084975
1964-01-01,1.47000587988121,14.5,2.041062510084975
1965-01-01,1.47000587988121,14.5,2.041062510084975
1966-01-01,1.47000587988121,14.5,2.041062510084975
1967-01-01,1.47000587988121,14.5,2.041062510084975
1968-01-01,1.47000587988121,14.5,2.041062510084975
1969-01-01,1.47000587988121,14.5,2.041062510084975
1970-01-01,1.47000587988121,14.5,2.041062510084975
1971-01-01,1.47000587988121,14.5,2.061232410012205
1972-01-01,1.47000587988121,14.5,2.1437372013304037
1973-01-01,1.47000587988121,14.5,2.1084323206390474
1974-01-01,1.47000587988121,14.5,2.2024481966775933
1975-01-01,1.47000587988121,14.5,2.220229200196874
1976-01-01,1.47000587988121,14.5,2.160982652308807
1977-01-01,1.47000587988121,14.5,2.2832289705651347
1978-01-01,1.47000587988121,14.5,2.3390216803843162
1979-01-01,1.47000587988121,14.5,2.461101115029864
1980-01-01,1.47000587988121,14.5,2.5850584186509784
1981-01-01,1.47000587988121,14.5,2.593824112748148
1982-01-01,1.47000587988121,14.5,2.5178320138747963
1983-01-01,1.47000587988121,14.5,2.711035186707874
1984-01-01,1.47000587988121,14.5,2.7486536093131844
1985-01-01,1.47000587988121,14.5,2.745204626835196
1986-01-01,1.47000587988121,14.5,2.7076296057221945
1987-01-01,1.47000587988121,14.5,2.6823664789171024
1988-01-01,1.47000587988121,14.5,2.7105727800322033
1989-01-01,1.47000587988121,14.5,2.79205707794486
1990-01-01,1.47000587988121,14.5,2.789317664261039
1991-01-01,1.4700058798820599,14.8,2.8560567040472593
1992-01-01,1.4700058798829099,14.2,2.930257971425781
1993-01-01,1.4700058798837599,13.9,2.934969987276908
1994-01-01,1.4700058798846098,14.2,2.854271599725363
1995-01-01,1.47000587988546,14.4,2.863798836360683
1996-01-01,1.47000587988631,14.4,2.930582525107505
1997-01-01,1.47000587988716,14.4,2.938892527228282
1998-01-01,1.47000587988801,14.5,3.03973089817534
1999-01-01,1.47000587988886,14.5,3.164086274978477
2000-01-01,1.47000587988971,14.2,3.2390077353305475
2001-01-01,1.4700058798898386,14.2,3.3035326282714217
2002-01-01,1.4700058798899673,14.6,3.244451821012153
2003-01-01,1.470005879890096,14.1,3.183277546280484
2004-01-01,1.4700058798902247,13.9,3.3085048901930842
2005-01-01,1.4700058798903533,14.2,3.3983906347752693
2006-01-01,1.470005879890482,14.3,3.5020359718974987
2007-01-01,1.4700058798906106,14.3,3.5511643599865232
2008-01-01,1.4700058798907394,14.6,3.638530595055221
2009-01-01,1.470005879890868,16.1,3.5909065345211264
2010-01-01,1.4700058798909967,12.6,3.7276495033429375
2011-01-01,1.4700058798911253,13.2,3.512601236354651
2012-01-01,1.470005879891254,13.0,3.6552943068928547
2013-01-01,1.4700058798913826,13.2,3.5880894623197293
2014-01-01,1.4700058798915114,12.9,3.719321344283559
2015-01-01,1.47000587989164,12.5,3.7149727457634727
2016-01-01,1.47000587989164,12.4,3.604438810569195
2017-01-01,1.47000587989164,11.8,3.5851171340486903
2018-01-01,1.47000587989164,11.9,3.549220204064183
2019-01-01,1.47000587989164,12.2,3.517500217472201
2020-01-01,1.47000587989164,12.9,3.3569908678403655
2021-01-01,1.47000587989164,11.6,3.5769401679295774
2022-01-01,1.47000587989164,11.6,3.501520793139293
2023-01-01,1.47000587989164,11.6,3.5718820097421147
2024-01-01,1.47000587989164,11.6,3.5718820097421147
