Year,land_area_where_elevation_is_below_5_meters_of_total_land_area_,renewable_energy_consumption_of_total_final_energy_consumption_,total_greenhouse_gas_emissions_excluding_lulucf_per_capita_t_co2e_capita_
1960-01-01,0.0,96.6,1.0562409734224423
1961-01-01,0.0,96.6,1.0562409734224423
1962-01-01,0.0,96.6,1.0562409734224423
1963-01-01,0.0,96.6,1.0562409734224423
1964-01-01,0.0,96.6,1.0562409734224423
1965-01-01,0.0,96.6,1.0562409734224423
1966-01-01,0.0,96.6,1.0562409734224423
1967-01-01,0.0,96.6,1.0562409734224423
1968-01-01,0.0,96.6,1.0562409734224423
1969-01-01,0.0,96.6,1.0562409734224423
1970-01-01,0.0,96.6,1.0562409734224423
1971-01-01,0.0,96.6,1.0361919894942704
1972-01-01,0.0,96.6,1.0405118743728066
1973-01-01,0.0,96.6,1.0343463652420855
1974-01-01,0.0,96.6,1.0369417670925278
1975-01-01,0.0,96.6,1.0333775683909243
1976-01-01,0.0,96.6,1.055154090279759
1977-01-01,0.0,96.6,1.0236358271406782
1978-01-01,0.0,96.6,1.0425608407362903
1979-01-01,0.0,96.6,1.0292518252539982
1980-01-01,0.0,96.6,0.9670797283556526
1981-01-01,0.0,96.6,0.9458595803680786
1982-01-01,0.0,96.6,0.9411379039849049
1983-01-01,0.0,96.6,0.9321692397791825
1984-01-01,0.0,96.6,0.9325575859871491
1985-01-01,0.0,96.6,0.9268434280520199
1986-01-01,0.0,96.6,0.932621711516715
1987-01-01,0.0,96.6,0.7917804561440677
1988-01-01,0.0,96.6,0.812799478922385
1989-01-01,0.0,96.6,0.8182027568768784
1990-01-01,0.0,96.6,0.8592309903694939
1991-01-01,0.0,96.6,0.8641818436881761
1992-01-01,0.0,96.7,0.8564052486043142
1993-01-01,0.0,96.8,0.8503863763329088
1994-01-01,0.0,97.3,0.8093819218758991
1995-01-01,0.0,96.5,0.8162717419186132
1996-01-01,0.0,96.3,0.8141233211894563
1997-01-01,0.0,95.9,0.8131937496837259
1998-01-01,0.0,95.4,0.8199395571271133
1999-01-01,0.0,95.5,0.8152887691385765
2000-01-01,0.0,95.3,0.8091574427659826
2001-01-01,0.0,95.5,0.8084846823339964
2002-01-01,0.0,95.6,0.8173464244325059
2003-01-01,0.0,95.6,0.8246394104702909
2004-01-01,0.0,95.3,0.8225667075990862
2005-01-01,0.0,94.5,0.8394649141594182
2006-01-01,0.0,94.2,0.8473569999975343
2007-01-01,0.0,94.1,0.8645475413805419
2008-01-01,0.0,94.1,1.0840106271365533
2009-01-01,0.0,94.3,1.0940362723132135
2010-01-01,0.0,93.6,1.094866375954507
2011-01-01,0.0,93.3,1.1100886616854562
2012-01-01,0.0,93.4,1.1128349179691275
2013-01-01,0.0,93.1,1.1105287194100741
2014-01-01,0.0,92.4,1.1254291356970973
2015-01-01,0.0,91.7,1.145319580812314
2016-01-01,0.0,91.4,1.1563242413133155
2017-01-01,0.0,91.3,1.1288737834326115
2018-01-01,0.0,90.5,1.1376435611259643
2019-01-01,0.0,90.5,1.1435863981828498
2020-01-01,0.0,91.6,1.1292176340940598
2021-01-01,0.0,91.0,1.1556420224987818
2022-01-01,0.0,90.9,1.1219118478479329
2023-01-01,0.0,90.9,1.0968912522270104
2024-01-01,0.0,90.9,1.0968912522270104
