Year,land_area_where_elevation_is_below_5_meters_of_total_land_area_,renewable_energy_consumption_of_total_final_energy_consumption_,total_greenhouse_gas_emissions_excluding_lulucf_per_capita_t_co2e_capita_
1960-01-01,0.0,83.0,2.883922551170622
1961-01-01,0.0,83.0,2.883922551170622
1962-01-01,0.0,83.0,2.883922551170622
1963-01-01,0.0,83.0,2.883922551170622
1964-01-01,0.0,83.0,2.883922551170622
1965-01-01,0.0,83.0,2.883922551170622
1966-01-01,0.0,83.0,2.883922551170622
1967-01-01,0.0,83.0,2.883922551170622
1968-01-01,0.0,83.0,2.883922551170622
1969-01-01,0.0,83.0,2.883922551170622
1970-01-01,0.0,83.0,2.883922551170622
1971-01-01,0.0,83.0,2.8628989144686865
1972-01-01,0.0,83.0,2.910505724169672
1973-01-01,0.0,83.0,2.925855461966154
1974-01-01,0.0,83.0,2.8861311330389827
1975-01-01,0.0,83.0,2.859569955307384
1976-01-01,0.0,83.0,2.857727745136806
1977-01-01,0.0,83.0,2.7243289932258112
1978-01-01,0.0,83.0,2.610562424456222
1979-01-01,0.0,83.0,2.497812394348591
1980-01-01,0.0,83.0,2.4352587779107204
1981-01-01,0.0,83.0,2.3571985240893425
1982-01-01,0.0,83.0,2.3589506876678468
1983-01-01,0.0,83.0,2.2465623931404264
1984-01-01,0.0,83.0,2.1316649671984913
1985-01-01,0.0,83.0,2.16314727443178
1986-01-01,0.0,83.0,2.150642291365698
1987-01-01,0.0,83.0,2.1023789638620762
1988-01-01,0.0,83.0,2.0985085450196443
1989-01-01,0.0,83.0,2.085933514081033
1990-01-01,0.0,83.0,1.9883719451761195
1991-01-01,0.0,82.3,1.962626775165536
1992-01-01,0.0,82.7,1.919275304891472
1993-01-01,0.0,85.2,1.8339198566597417
1994-01-01,0.0,86.9,1.7036079442004444
1995-01-01,0.0,87.1,1.6222040134704294
1996-01-01,0.0,89.6,1.5300554094917034
1997-01-01,0.0,87.0,1.6147989896788622
1998-01-01,0.0,87.8,1.5917792189494482
1999-01-01,0.0,89.8,1.5521141929598599
2000-01-01,0.0,90.0,1.4802901005237665
2001-01-01,0.0,89.8,1.4746660713585278
2002-01-01,0.0,89.6,1.4135961770665881
2003-01-01,0.0,89.3,1.3908105679424632
2004-01-01,0.0,89.4,1.361653765439623
2005-01-01,0.0,88.9,1.3757870993655588
2006-01-01,0.0,89.7,1.355268409314012
2007-01-01,0.0,90.7,1.263437533450828
2008-01-01,0.0,89.8,1.2323017229277144
2009-01-01,0.0,89.2,1.3226972179971976
2010-01-01,0.0,89.2,1.3511777587118743
2011-01-01,0.0,87.9,1.2958487569709392
2012-01-01,0.0,85.4,1.4790833270694879
2013-01-01,0.0,85.3,1.4837135171855673
2014-01-01,0.0,84.6,1.4786306531201174
2015-01-01,0.0,84.0,1.4400617009883903
2016-01-01,0.0,84.0,1.4319022292395076
2017-01-01,0.0,83.5,1.4867166017250988
2018-01-01,0.0,83.8,1.5163988854968093
2019-01-01,0.0,86.1,1.4489161324131639
2020-01-01,0.0,85.4,1.4346782780880505
2021-01-01,0.0,83.0,1.4410154212946626
2022-01-01,0.0,83.0,1.4809652071573882
2023-01-01,0.0,83.0,1.4709733393199613
2024-01-01,0.0,83.0,1.4709733393199613
