Year,land_area_where_elevation_is_below_5_meters_of_total_land_area_,renewable_energy_consumption_of_total_final_energy_consumption_,total_greenhouse_gas_emissions_excluding_lulucf_per_capita_t_co2e_capita_
1960-01-01,0.0,64.0,4.164866088769034
1961-01-01,0.0,64.0,4.164866088769034
1962-01-01,0.0,64.0,4.164866088769034
1963-01-01,0.0,64.0,4.164866088769034
1964-01-01,0.0,64.0,4.164866088769034
1965-01-01,0.0,64.0,4.164866088769034
1966-01-01,0.0,64.0,4.164866088769034
1967-01-01,0.0,64.0,4.164866088769034
1968-01-01,0.0,64.0,4.164866088769034
1969-01-01,0.0,64.0,4.164866088769034
1970-01-01,0.0,64.0,4.164866088769034
1971-01-01,0.0,64.0,4.152873679557156
1972-01-01,0.0,64.0,3.9625111300157245
1973-01-01,0.0,64.0,4.120303391159085
1974-01-01,0.0,64.0,4.003738451893667
1975-01-01,0.0,64.0,3.7658284822660986
1976-01-01,0.0,64.0,3.832463431102232
1977-01-01,0.0,64.0,3.61307956322897
1978-01-01,0.0,64.0,3.404866605792705
1979-01-01,0.0,64.0,3.2577988060574445
1980-01-01,0.0,64.0,3.1155029118900295
1981-01-01,0.0,64.0,2.914877174312392
1982-01-01,0.0,64.0,2.846201678292402
1983-01-01,0.0,64.0,2.728191875831337
1984-01-01,0.0,64.0,2.7025600227277926
1985-01-01,0.0,64.0,2.8566863359439187
1986-01-01,0.0,64.0,3.0182315143826193
1987-01-01,0.0,64.0,3.3470211674244057
1988-01-01,0.0,64.0,3.2081288151822362
1989-01-01,0.0,64.0,3.155908514294971
1990-01-01,0.0,64.0,3.388285280836153
1991-01-01,0.0,63.7,3.29854944095119
1992-01-01,0.0,64.4,3.29356143776804
1993-01-01,0.0,64.4,2.830799698866181
1994-01-01,0.0,68.5,2.7462240006298084
1995-01-01,0.0,67.1,2.709575083335619
1996-01-01,0.0,66.7,2.792041124322929
1997-01-01,0.0,67.4,2.6537343092379504
1998-01-01,0.0,67.8,2.678170138301615
1999-01-01,0.0,64.4,2.911097913702412
2000-01-01,0.0,69.5,2.7304700491210308
2001-01-01,0.0,72.3,2.7265845248803844
2002-01-01,0.0,74.7,2.483401864696149
2003-01-01,0.0,78.0,2.18970673027519
2004-01-01,0.0,81.8,2.0989421227543885
2005-01-01,0.0,80.3,2.1834620479368176
2006-01-01,0.0,78.7,2.071729825912272
2007-01-01,0.0,78.0,2.0462497123958667
2008-01-01,0.0,81.6,1.8210840850737962
2009-01-01,0.0,82.6,1.8481768330772992
2010-01-01,0.0,81.2,2.057672386607677
2011-01-01,0.0,77.2,2.5014519591297777
2012-01-01,0.0,77.0,2.2524283199015884
2013-01-01,0.0,79.3,2.235623607801677
2014-01-01,0.0,80.8,2.049853178201522
2015-01-01,0.0,80.8,2.0977340599664713
2016-01-01,0.0,81.7,1.9456115061792594
2017-01-01,0.0,82.0,1.8826351991516344
2018-01-01,0.0,79.7,1.9892643908803593
2019-01-01,0.0,81.0,1.8576855721111558
2020-01-01,0.0,84.1,1.7241445935592503
2021-01-01,0.0,82.4,1.8280696401453167
2022-01-01,0.0,82.4,1.856076673078991
2023-01-01,0.0,82.4,1.8982704786821618
2024-01-01,0.0,82.4,1.8982704786821618
