Year,Sector,GPC ref No.,Scope,Category,Sub-category,Activity,Description,CO2,CH4,N2O,Total tCO2e,CO2(b),Data Quality
1990,Stationary,I.1.1,1,Emissions from fuel combustion within the city boundary,Residential (1.A.4.b),Natural gas,Natural gas consumption from residential heating,770717,378,4260,775355,,H
1990,Stationary,I.1.1,1,Emissions from fuel combustion within the city boundary,Residential (1.A.4.b),Gas oil,Light fuel oil consumption for residential heating,1657182,391,1076,1658649,,M
1990,Stationary,I.1.1,1,Emissions from fuel combustion within the city boundary,Residential (1.A.4.b),Wood or wood waste,Firewood consumption for residential heating,0,157919,20079,177998,714217,M
1990,Stationary,I.1.2,2,Emissions from grid-supplied energy consumed within the city boundary,Residential (1.A.4.b),Electricity,Electricity consumption,,,,143456,0,H
1990,Stationary,I.2.1,1,Emissions from fuel combustion within the city boundary,Commercial / Institutional (I.A.4.a),Natural gas,Natural gas consumption for heating,1549698,760,8566,1559024,0,H
1990,Stationary,I.2.1,1,Emissions from fuel combustion within the city boundary,Commercial / Institutional (I.A.4.a),Gas oil,Light fuel oil consumption for heating,469738,111,1576,471425,0,M
1990,Stationary,I.2.1,1,Emissions from fuel combustion within the city boundary,Commercial / Institutional (I.A.4.a),Other (please specify),Heavy fuel oilconsumption for heating,83646,38,505,84189,0,M
1990,Stationary,I.2.1,1,Emissions from fuel combustion within the city boundary,Commercial / Institutional (I.A.4.a),Propane,Propane consumpition,52203,21,1109,53333,0,L
1990,Stationary,I.2.1,1,Emissions from fuel combustion within the city boundary,Institutional,Sewage sludge,Burning of sewage sludge for heating,21357,79,35797,57234,59693,H
1990,Stationary,I.2.2,2,Emissions from grid-supplied energy consumed within the city boundary,Commercial / Institutional (I.A.4.a),Electricity,Electricity consumption,,,,138209,0,H
1990,Stationary,I.3.1,1,Emissions from fuel combustion within the city boundary,Manufacturing industries and construction (1.A.2),Other (please specify),All fuel consumed for Manufacturing and construction,1115508,578,6141,1451494,9124,H
1990,Stationary,I.3.2,2,Emissions from grid-supplied energy consumed within the city boundary,Manufacturing industries and construction (1.A.2),Electricity,Electricity consumed for manufacturing and construction,6750,0,168,54462,0,H
1990,Stationary,I.4.1,1,Emissions from fuel combustion within the city boundary,Other energy industries (1.A.1.c.ii),Other (please specify),All fossil fuels consumed,2158815,2716,9952,2171482,0,H
1990,Stationary,I.8.1,1,Emissions from fugitive emissions within the city boundary,Natural Gas,Distribution (1.B.2.b.iii.5),Fugitive emissions from natural gas distribution,10,14468,0,14478,0,M
1990,Stationary,I.8.1,1,Emissions from fugitive emissions within the city boundary,Oil,Production (1.B.2.b.iii.2),Fugitive emissions from  oil production and flaring,135081,38,215,135333,0,H
2015,Stationary,I.1.1,1,Emissions from fuel combustion within the city boundary,Residential (1.A.4.b),Natural gas,Natural gas consumption from residential heating,765513,368,4146,770026,0,H
2015,Stationary,I.1.1,1,Emissions from fuel combustion within the city boundary,Residential (1.A.4.b),Gas oil,Light fuel oil consumption for residential heating,151224,36,98,151358,0,M
2015,Stationary,I.1.1,1,Emissions from fuel combustion within the city boundary,Residential (1.A.4.b),Wood or wood waste,Firewood consumption for residential heating,0,13326,3231,16557,139041,M
2015,Stationary,I.1.1,1,Emissions from fuel combustion within the city boundary,Residential (1.A.4.b),Propane,Propane consumption (and other fuels),22797,10,484,23291,0,L
2015,Stationary,I.1.2,2,Emissions from grid-supplied energy consumed within the city boundary,Residential (1.A.4.b),Electricity,Electricity consumption,,,,6802,,H
2015,Stationary,I.2.1,1,Emissions from fuel combustion within the city boundary,Commercial / Institutional (I.A.4.a),Natural gas,Natural gas consumption for heating,1389339,667,7524,1397531,0,H
2015,Stationary,I.2.1,1,Emissions from fuel combustion within the city boundary,Commercial / Institutional (I.A.4.a),Gas oil,Light fuel oil consumption for heating,230489,54,773,231317,0,M
2015,Stationary,I.2.1,1,Emissions from fuel combustion within the city boundary,Commercial / Institutional (I.A.4.a),Other (please specify),Heavy fuel oilconsumption for heating,4677,2,28,4707,0,M
2015,Stationary,I.2.1,1,Emissions from fuel combustion within the city boundary,Commercial / Institutional (I.A.4.a),Propane,Propane consumpition,129147,51,2744,131942,0,L
2015,Stationary,I.2.1,1,Emissions from fuel combustion within the city boundary,Institutional,Sewage sludge,Burning of sewage sludge for heating,22906,105,56465,79476,105518,H
2015,Stationary,I.2.1,1,Emissions from fuel combustion within the city boundary,Commercial / Institutional (I.A.4.a),Other biogas,Renewable Natural Gas comsumption,0,0,0,0,0,H
2015,Stationary,I.2.2,2,Emissions from grid-supplied energy consumed within the city boundary,Commercial / Institutional (I.A.4.a),Electricity,Electricity consumption,,,,6605,,H
2015,Stationary,I.3.1,1,Emissions from fuel combustion within the city boundary,Manufacturing industries and construction (1.A.2),Natural gas,Natural gas consumption for heating,253571,122,1295,254988,0,H
2015,Stationary,I.3.1,1,Emissions from fuel combustion within the city boundary,Manufacturing industries and construction (1.A.2),Other (please specify),Emissions declared to the government,850464,630,4331,855425,12324,H
2015,Stationary,I.3.2,2,Emissions from grid-supplied energy consumed within the city boundary,Non-specified industry (1.A.2.m),Electricity,All industries,,,,2092,0,H
2015,Stationary,I.4.1,1,Emissions from fuel combustion within the city boundary,Other energy industries (1.A.1.c.ii),Other (please specify),All fossil fuels consumed,1205941,46,4989,1210975,0,H
2015,Stationary,I.8.1,1,Emissions from fugitive emissions within the city boundary,Oil,Other (please specify) (1.B.2.b.iii.6),"Fugitive emissions from natural gas distribution, oil production and flaring",94535,1927,1779,98241,0,M
2016,Stationary,I.1.1,1,Emissions from fuel combustion within the city boundary,Residential (1.A.4.b),Natural gas,Natural gas consumption from residential heating,768852,369,4164,773385,0,H
2016,Stationary,I.1.1,1,Emissions from fuel combustion within the city boundary,Residential (1.A.4.b),Gas oil,Light fuel oil consumption for residential heating,164221,39,107,164366,0,M
2016,Stationary,I.1.1,1,Emissions from fuel combustion within the city boundary,Residential (1.A.4.b),Wood or wood waste,Firewood consumption for residential heating,0,12241,2968,15209,127723,M
2016,Stationary,I.1.1,1,Emissions from fuel combustion within the city boundary,Residential (1.A.4.b),Propane,Propane consumption (and other fuels),24183,11,514,24707,0,L
2016,Stationary,I.1.2,2,Emissions from grid-supplied energy consumed within the city boundary,Residential (1.A.4.b),Electricity,Electricity consumption,,,,6644,,H
